en_sentence	translation	variety	county	orthography
The Ottomans participated in the fair with a Turkish Village compound that included, among other things, a theatre that was meant to showcase the diversity of the Ottoman culture.	"عوسمانیەل ڤەگەرد ""کۆمپلێکس ئاوایی تڕکی"" دە ئێ پێشانگا بەشداری کردن ک دەخوەگر شانۆیێ بی ک بڕیار بی هەمەجووری و چەن‌ڕەنگی دە ڤڵات عوسمانی نشۆن بێ."	Pehley	Pahleh	Southern Kurdish
Among the plays shown on this stage was a play entitled The Kurdish Drama, which was performed in Arabic by the cast of mostly Christian Arabs and Orthodox Greeks.	ئەژ کولتوور عوسمانی، ئەژ ئەو شانۆگەرییەلێ ک دەو فێستیڤاڵ پێشکەش کریان، شانۆگەرییێ ڤە ناو درامای کوردی بی ک ڤە زۆن عەرەوی و ئەژ لایەن ئەکتەرەل فرەتر مەسیحی عەرەو و یوونانی ئۆرتۆدۆکسەو نمایش کریا.	Pehley	Pahleh	Southern Kurdish
By using common tropes such as the abducted woman and the skilled Kurdish warrior, the ‘Kurdish’ drama, which was also directed by a Christian Arab, depicted aspects of Kurdish life as seen through the eyes of non-Kurdish non-Muslim Ottomans.	"درامای ""کوردی"" ک دەرهێنەری یەێ عەرەو مەسیحی بی، ڤە کەڵک‌گرتن ئەژ دیمەنەلێ جوور ژن دزریایە و شەڕڤان لێهاتووی کورد، لایەنەلێ ئەژ ژیان کورد ئەژ ڕوانگەی عوسمانییەل غەیرە کورد غەیرە موسەڵمان وێنا دکرد و نشۆن دیا."	Pehley	Pahleh	Southern Kurdish
The first-ever Kurdish-language drama appears in Istanbul in 1919 when Ebdurehîm Rehmî Hekarî (1890–1958) published his two-act play Memê Alan in the journal Jîn.	"یەکەم شانۆنامە ڤە زۆن کوردی دە ساڵ ١٩١٩ دە ئەستەنبوڵ دەرکەفت، دەو ڤەختە ک عەبدوڕەحیم ڕەحمی حەکاری (١٩٥٨-١٨٩٠) شانۆنامەی دو ئەکتەیی خوەی ""مەمێ ئالان""، دە گۆڤار ""ژین"" بڵاوکردەو."	Pehley	Pahleh	Southern Kurdish
This play does not have much in common with Mem û Zîn (Mam and Zin), the well-known Kurdish romance.	"ئێ نمایشە هم‌بەشی فرەیێ ڤەگەرد ""مەم و زین""، ڕۆمانس نۆمدار کوردی نێرێ."	Pehley	Pahleh	Southern Kurdish
The story of Memê Alan seems to take place during the Third Crusade when the Europeans attempted to recapture Jerusalem from Saladin.	"ڤێ‌دچوو چیرووک ""مەمێ ئالان"" دە سەردەم جەنگ جاچپەرستی (سەلیبی) سێڤمەو ڕی دایی، ڤاتە دەو زەمۆنە ک ئرووپاییەل تەقەلاکردن قودس ئەژ دەس سەلاحەدین بگرنەو."	Pehley	Pahleh	Southern Kurdish
Mem in Hekarî’s play leaves his mother and his wife, in order to join the forces of the prince of Hakkari, who has called for jihad in support of Saladin.	دە شانۆنامەکەی حەکاری، مەم داڵک و هم‌سەرەکەی ڤەجا هێلێ و دچووە نەو ئازەل شازادەی حەکاری ک ڤەر پاڵپشتی ئەژ سەلاحەدین دەنگ ڤەر جهاد کردییە	Pehley	Pahleh	Southern Kurdish
After a long absence, Mem returns from war to his lovesick wife who faints upon recognizing her much-changed husband.	دمای دیرکەفتنەوەیەکی فرە، مەم ک فرە گوەڕیایە، ئەژ شەڕ دیاێەو لای هم‌سەرەکەی	Pehley	Pahleh	Southern Kurdish
Unaware of her son’s return, Mem’s mother comes home to find her daughter-in-law in bed with a man and, not recognizing her son, stabs him in the chest.	داڵک مەم ک ئەژ یەتنەوەی کوڕەکەی بێ‌ئاگاو، ڤەختێ دیاێەو ماڵ و بەڤیەکەی دە جا ڤەگەرد پیایێ ڤینێ، ڤەخاتر ئەڤە ک کوڕەکەی نێشناسێ، ڤە چەقوو دێ ئەڵ ناو سینگی	Pehley	Pahleh	Southern Kurdish
Hekarî seems to have drawn upon Kurdish oral tradition, particularly the Memê Ebasî narrative, as material for this play.	"ڤێ‌دچوو حەکاری ئەژ نەریت زارەکی کوردی و بەتایبەت گێڕانەوەی ""مەمێ عەباسی"" جوور کرووک ئێ شانۆنامە کەڵک‌گرتوویی"	Pehley	Pahleh	Southern Kurdish
In his short description of the play, Hekarî writes ‘Tiyatroya Kurdan Fezîleta Kurdan No ̧sî Didit’, which translates to ‘Kurdish Play Shows the Kurds’ Virtues’.	"حەکاری دە کورتە وەسف شانۆنامەکە دنیسنێ "" تیاتۆرا کوردان فەزیلەتا نۆشی ددت "" ڤاتە ""تئاتر کوردی فەزیلەتەل کوردەل نشۆن دێ"""	Pehley	Pahleh	Southern Kurdish
These virtues, as portrayed in the play by Mem, his mother and his wife, are honour and love of country, religion and family.	ئێ فەزیلەتلە ک دە شانۆنامەکە ئەژ لایەن مەم، داڵک و هم‌سەرەکی وێنا کریانە، شانازی و عشق ڤە نیشتمان، دین و بنەماڵەو	Pehley	Pahleh	Southern Kurdish
The pro-Kurdish and pro-Islamic sentiments that characterize Memê Alan reflect the Kurds’ hope for national recognition following the First World War.	ئەو هەست و سووز ڤە کورد و ئسلام ک تایبەمەندییەل مەمێ ئالانە، نشۆندەر هیڤای کورەلە ڤەر ڤە فەرمی ئژناسە بین نەتەوەیی دە دمای جەنگ جهانی یەکەم	Pehley	Pahleh	Southern Kurdish
This is particularly evident in the play’s glorification of Saladin, the Kurdish Muslim leader, who was celebrated by early Kurdish nationalists as a national hero.	یەیش بەتایبەتی دە شکومەندکردن سەلائەدین، سەرکردەی موسەڵمان کورد ک ئەژ لایەن ناسیۆنالیستەل سەرەتایی کوردەو جوور یەێ قارەمان نەتەوەیی نشۆن ددریا دەرکەفێ	Pehley	Pahleh	Southern Kurdish
Kurdish dreams of independence were soon crushed as the dissolution of the Ottoman Empire led to the further fragmentation of the Kurds into minority groups within the newly formed Middle Eastern states.	فرە ڤێ نەچی ک خەون کورد ڤەر سەرڤەخوەیی تێکدریا، چونکە ئەڵڤەشانەوەی ئمپراتوریەت عوسمانی کورد فرەتر دە ڤڵاتەل تازە درس‌کریایەی ڕووژهەڵات‌ نامین دە گرووپەل کەمینەیی پارچەپارچە کرد	Pehley	Pahleh	Southern Kurdish
This was followed by decades of linguicide, ethnocide and genocide that hindered the growth of their culture.	ئەڤەیش دەهان ساڵ زۆن‌کوشی، ئێتنۆساید و ژنۆساید ڤەدمای خوەی ئەورد و ڕێگر گەشەکردن کولتوور کورد و کوردی بی	Pehley	Pahleh	Southern Kurdish
While centralization policies in Iran, Syria and Turkey aggressively aimed at assimilating the Kurdish populations by suppressing all Kurdish expression, Kurds in Iraq and the Soviet Union enjoyed greater freedom to embark on creating an original Kurdish theatre.	دە حاڵێ ک سیاسەتەل ناوەندگەرایی دە ئێران و سوریە و تڕکیە ڤە شێڤەی شەڕەنگێزانە ئارمانجی ئاسمیلەکردن دانیشتووەل کورد ڤە سەرکوت‌کردنی بی، کورد دە عراق یەکێتی سۆڤیەت ئازادی فرەترێ ڤەر درسکردن تئاتر ڕەسەن کوردی ڤەدەس ئەورد.	Pehley	Pahleh	Southern Kurdish
Modern Kurdish theatre, therefore, emerged and developed differently in countries in which the Kurds live.	ئەمانێ، دیرووک تئاتر کوردی مۆدێرن، دە ڤڵآتەلێ ک کوردەل دە نەوۆن ژین ڤە شێڤەل جوورڤەجوور پێک یەت و گەشە کرد. 	Pehley	Pahleh	Southern Kurdish
The following traces these divergent histories in Soviet Armenia and Georgia, Turkey, Iraq, Iran, Syria and within the diaspora.	دە درێژە ئێ دیرووکە دە ئەرمەنستان و گورجستان سووڤیەت، ترکیە، عراق، ئێران، سووریە و دیاسپۆرا دە بەحس کەفێ.	Pehley	Pahleh	Southern Kurdish
In Armenia and Georgia	دە ئەرمەنستان و گورجستان	Pehley	Pahleh	Southern Kurdish
While Turkey’s Kurdish elite were forced into exile soon after the establishment of the Republic of Turkey, Kurds in Soviet Armenia set out to create the first and only state-supported Kurdish theatre in the world.	دە سەردەمێ ک نوخبەل کورد تڕکیە هەی زی دمای ئەڵمەزرەنن کومار تڕکیە ڤە ناچاری دەرڤەدەر بین، کوردەل دە ئەرمەنستان سوڤیەت دەس کردن ڤە ئەڵمەزرەنن یەکەم و تاکە شانۆی کوردی دە جهان ک دەوڵەت پاڵپشتی ئەژەی دکرد	Pehley	Pahleh	Southern Kurdish
They were only able to achieve this with the support of Armenian cultural figures such as Hakob Ghazaryan or Lazo (1864–1926), who helped erase the illiteracy of Soviet Kurds by composing and publishing the first Kurdish ABC book in 1921 	ئەونی تەنیا ڤە پاڵپشتی کەسایەتییەل کولتووری ئەرمەنی جوور هاکۆب غەزاریان یا لازۆ (١٩٢٦-١٨٦٤) ک ڤەگەرد نڤیسین و چاپکردن یەکەم کتەو ئەلفوبێ کوردی دە ساڵ ١٩٢١ دە بنبڕکردن نەخوەنەڤاری کوردەل سوڤیەت دەسمەتیدەر بین.	Pehley	Pahleh	Southern Kurdish
Along with Ahmedê Mîrazî (1899–1961) and others, Lazo founded the first Kurdish boarding school in Tbilisi and also staged Kurdish plays in a club named Lukashin	"لازۆ هم‌شۆن ئەحمەدێ میرازی (١٩٦١-١٨٩٩) و کەسەلێ تر، یەکەمین خوەنەگەی شەوانەڕووژی کوردی دە تفلیس ئەڵمەزرەن و هێچنەیش شانۆنامەل کوردی دە کوومەڵەیێ ڤە ناو ""لوکاشین"" نمایش کرد"	Pehley	Pahleh	Southern Kurdish
The plays performed there included Mîrazî’s Zemanê Çûyî (The Time Passed) and Lazo’s Gustîl (Ring) and Qelen (Dowry) (Boyîk, 2004: 104–5).	"ئەو شانۆگەریەلێ ک دەورە نمایش دکریان بریتی بین ئەژ ""زەمانێ چوویی"" ئەژ میرازی و ""گوستیل"" و ""قەلەن"" ئەژ لازۆ"	Pehley	Pahleh	Southern Kurdish
This unofficial Kurdish theatre group performed in Tbilisi and Armenian villages with Kurdish populations during the late 1920s.	ئێ گرووپ نافەرمی تئاتر کوردییە دە کوتاییەل دەهەی ١٩٢٠ دە تفلیس و ئاواییەل ئەرمەنی ڤە دانیشتووەل کورد تئاترەل خوەی نمایش دکرد.	Pehley	Pahleh	Southern Kurdish
In Armenia, Kurdish plays first appeared in print in the 1930s.	دە ئەرمەنستان، شانۆنامەل کوردی ڤەر یەکەمین گل دە دەهەی ١٩٣٠ چاپ کریان	Pehley	Pahleh	Southern Kurdish
These plays, which mainly focused on sociopolitical themes, were Qutiya Dû-Dermanan (Medicine Box, 1934) by Hecîyê Cindî (1909–90), Zemanê Çûyî (1935) by Ahmedê Mîrazî and Reva Jinê (The Abduction of a Woman, 1935) by Wezîrê Nadirî (1911–47).	"ئێ شانۆنامەلە ک ڤە شێڤەی سەرەکی ڤەسەر تەوەر کوومەڵایەتی-سیاسی بین، بریتین ئەژ: ""قوتیا دوو-دەرمانان"" (١٩٣٤) ئەژ نڤیسین هەجییێ جندی (١٩٩٠-١٩٠٩)، ""زەمانێ چوویی"" (١٩٣٥) ئەژ نڤیسین ئەحمەدێ میرازی و ""ڕەڤا ژنێ"" (١٩٣٥) ئەژ نڤیسین وەزیرێ نادری (١٩٤٧-١٩١١)"	Pehley	Pahleh	Southern Kurdish
In 1937, the first state-supported Kurdish theatre was founded in Alagyaz, an Armenian village populated mainly by Yezidi Kurds.	دە ساڵ ١٩٣٧، یەکەم شانۆی کوردی ڤە پاڵپشتی دەوڵەت دە ئەلەگەز، ئاواییێ دە ئەرمەنستان ک ڤە شێڤەی سەرەکی کوردەل ئێزەدی دەورە نیشتەجان، ئەڵمەزریا	Pehley	Pahleh	Southern Kurdish
The theatre group was made up of the Kurdish youth of the Alagyaz district and was managed by two directors, the Armenian Tsolak Nikoghosyan and the Kurdish Celatê Koto.	ئەو گرووپە شانۆییە ئەژ جوانەل کورد دەڤەر ئەلەگەز و ئەژ لایەن دوو دەرهێنەر ڤە ناوەل تسۆلاک نیکۆغۆسیان ئەرمەنی و جەلاتێ کۆتۆ-ی کورد ڤەڕێەودچی	Pehley	Pahleh	Southern Kurdish
In November 1937, the state’s Kurdish Theatre in Alagyaz launched its first production, Samson Kajoyan’s Xuliqandina Rojê (The Sun Rises), a play dedicated to the twentieth anniversary of the October Revolution.	"دە نۆڤامبر ١٩٣٧، شانۆی کوردی دەوڵەتی دە ئەلەگەز یەکەمین شانۆگەری خوەی ڤە ناو ""خولقاندنا ڕۆژێ"" ئەژ نڤیسین سامسۆن کاژۆیان، ک شانۆگەرییێ تایبەت ڤە بیستەمین ساڵیاد شووڕش ئۆکتۆبر بی نمایش کرد"	Pehley	Pahleh	Southern Kurdish
The Kurdish Theatre enjoyed the support of Armenian artists including actor Mkrtich Djanan, director Amo Kharazyan and playwrights Suren Ginosyan and Vardges Shogheryan, among others.	شانۆی کوردی پاڵپشتی هونەرمەندەل ئەرمەنی جوور یاریگەر مکرتیچ جانان، دەرهێنەر ئامۆ خرازیان و شانۆنامەنڤیسەل سۆرن گینحسیان و واردجس شۆگریان و چەن کەس تر داشت	Pehley	Pahleh	Southern Kurdish
These theatre artists trained the young Kurdish actors who, within a few years, acquired a great reputation by participating in the national theatre festival and performing in Tbilisi 	ئێ شانۆکارلە، یاریگەرەل جوان کورد پەرڤەردە کردن ک دە درێژەی چەن ساڵ، ڤە بەشداری‌کردن دە فستیڤاڵ نیشتنمانی شانۆ دە تفلیس، ناوبانگ گەپێ ڤەدەس ئەوردن.	Pehley	Pahleh	Southern Kurdish
During the ten years of its life, the Kurdish Theatre of Alagyaz staged around thirty plays, four of which were written by Kurdish writers: Miraz by Heciyê Cindî, Xu ̧ska Doxtiryê and Bira by Cerdoyê Genco (1904–45) and Lur- De-Lur by Celatê Koto.	"شانۆی کوردی ئەلەگەز دە درێژەی دە ساڵ هەبوون خوەی نزیکە سی شانۆنامە نمایش کرد ک چوار ئەژۆن ئەژ لایەن نڤیسەرەل کوردەو نڤیسریایین: ""مراز"" ئەژ نڤیسن هەجیێ جندی، ""خوشکا دۆختریێ"" و ""برا"" ئەژ نڤیسین جەردۆیێ گەنۆ (١٩٤٥-١٩٠٤) و ""لور-دە-لور"" ئەژ نڤیسین جەلاتێ کۆتۆ"	Pehley	Pahleh	Southern Kurdish
Other Kurdish cultural figures who supported the Kurdish Theatre included Emînê Evdal (1906–64), Casimê Celîl (1908–98), Usivê Beko (1909–69), Semend Siyabendov (1909–98) and Mîroyê Esed (1919–2008), writer and editor-in-chief of the Kurdish newspaper Riya Teze (The New Way).	"کەسایەتیەل تر فەرهەنگی کورد ک ئەژ تئاتر کوردی پاڵپشتی کردن بریتین ئەژ: ئەمینێ ئەڤدال (١٩٦٤-١٩٠٦)، جاسمێ جەلیل (١٩٩٨-١٩٠٨)، یووسفێ بەکۆ (١٩٦٩-١٩٠٩)، سەمەند سیابەندۆف (١٩٩٨-١٩٠٩) و میرۆیێ ئەسەد (٢٠٠٨-١٩١٩) نڤیسکار و سەردەبیر ڕووژنامەی کوردی ""ڕێیا تەزە""."	Pehley	Pahleh	Southern Kurdish
During World War II, Armenia’s Kurdish Theatre produced pro-Soviet plays that demonstrated Soviet Kurds’ solidarity with their country.	دە درێژەی جەنگ جهانی دووەم، شانۆی کوردی ئەرمەنستان شانۆگەریەل لایەنگر سوڤیەت بەرهەم ئەورد ک هم‌دەنگی کوردەل سوڤیەت ڤەگەرد ئەو ڤڵاتە نشۆن ددا	Pehley	Pahleh	Southern Kurdish
Among these were patriotic plays by Armenian playwrights such as Ashot Shaybon, Nairi Zaryan and Suren Ginosyan.	دە نەو شانۆنامەل نیشتمانپەرڤەرانە شانۆنامەنڤیسەل ئەرمەنی جوور ئاشۆن شایبۆن، نیری زاریان و سۆرن گینۆسیان بین	Pehley	Pahleh	Southern Kurdish
Ginosyan’s Heso, for example, depicted the fate of a young Kurdish couple, Hasso and Leyla, who embodied the patriotism of the Soviet youth.	"ڤەر نموونە، ""هەسۆ""-ی گینۆسان، چارەنووس ژن و مێرد جوان کوردێ ڤە ناوەل هەسۆ و لەیلا نشۆن دێ هێمای نیشتمانپەرڤەری جوانەل سوڤیەت بین"	Pehley	Pahleh	Southern Kurdish
The Kurdish Theatre also staged several well-known social-realist plays by Armenian, Georgian and Azerbaijani playwrights such as Gabriel Sundukyan’s Pepo, Alexander Shirvanzade’s The Evil Spirit, Vrtanes Papazyan’s Rock and Jafar Jabbarly’s Sevil, among others.	"شانۆی کوردی هێچنەیش چەندین شانۆنامەی ناسریای سۆسیال ڕیالیسی ئەژ لایەن شانۆنامەنڤیسەل ئەرمەنی و گورجستانی و ئازربایجانی جوور ""پەپۆ"" ئەژ نڤیسین گابریل سوندوکیان، ""ڕووح شەیتانی"" ئەژ نڤیسین ئەلەکساندەر شێروان‌زادە، ""سەخرە"" ئەژ نڤیسین ورتانس پاپازیان و ""سەڤل"" ئەژ نڤیسین جەعفەر جەبارلی و هتد نمایش کرد."	Pehley	Pahleh	Southern Kurdish
Armenian playwrights also drew on Kurdish life and folklore for their plays.	شانۆنامەنڤیسەل ئەرمەنستانیش ڤەر شانۆنامەل خوەیۆن ئەژ ژیان کوردی و فۆڵکلۆر کوردی کەڵک گرتن	Pehley	Pahleh	Southern Kurdish
This is best exemplified by Ginosyan’s Keça Mîrakê (The Girl from Mirak), Ker û Kulik (Kar and Kulik; based on an old Kurdish epic), Xecêzerê û Siyabend (Khaj and Siyaband), Ewledê Çiyayê Re ̧s (The Son of Black Mountain) and Mêrxasê Bajarê Cizîrê (The Hero of the City of Jazira).	"یە ڤە خاسترین شێڤە ئەژ لایەن ""کەچا مراکێ"" نڤیسین گینۆسیان، ""کەر و کولک"" (کار و کولک، ڤەپێ یەێ حماسەی قەدیمی کوردی)، ""جەجێ‌زەرێ و سیابەند""، ""ئەولەدێ چیایێ ڕەش"" و ""مێرخاسێ باژارێ جزیرێ"" کەفیە ڤەر چەو."	Pehley	Pahleh	Southern Kurdish
According to Eskerê Boyîk, some of the most memorable performances by the Kurdish Theatre of Alagyaz were Xecêzerê û Siyabend, Ker û Kulik and a play based on Soghomon Taronts’s Mem û Zîn .	"زادزاد ڤە ڤتەی عەسکەرێ بۆییک، بڕێ ئەژ دە ڤیر مەنەترین نمایشەل شانۆی کوردی ئەلەگەز بریتین ئەژ ""خەجێ‌زەرێ و سیابەند""، ""کەر و کولک"" و شانۆگەرییێ ک ڤەسەر بنەمای ""مەم و زین"" ئەژ نڤیسین سۆغۆمۆن تارۆنتس."	Pehley	Pahleh	Southern Kurdish
In 1947, financial difficulties and the dissolution of the Union of Regional Theatres put an end to the Kurdish Theatre of Alagyaz and many other theatres.	دە ساڵ ١٩٤٧، گێچەڵ دارایی و ئەڵڤەشانەوەی یەکێتی شانۆوەل هەرێمی ڤە کوتایی ڤە شانۆی کوردی ئەلەگەز و شانۆوەل تر ئەورد	Pehley	Pahleh	Southern Kurdish
Kurdish theatre, however, did not completely disappear during the decades that followed.	ڤەلێ شانۆی کوردی دە درێژەی دەهەل دمایینیش ڤە تەمامیەو ئەژ نەو نەچی	Pehley	Pahleh	Southern Kurdish
In 1955, the Kurdish department of Public Radio of Yerevan broadcast its first programmes, focusing mainly on songs and radio plays.	دە ساڵ ١٩٥٥، بەش کوردی ڕادیۆی گردی ئێرەڤان یەکەم بەرنامەل خوەی ک تیشک خسە سەر گورانی و شانۆگەری ڕادیۆیی پەخش کرد	Pehley	Pahleh	Southern Kurdish
The first dramatic experience on the Kurdish radio was Emînê Evdal’s Gulîzer produced in 1957.	"یەکەم ئەزموون دراما دە ڕادیۆی کوردی، ""گولیزەر"" ئەژ نڤیسین ئەمینێ ئەڤدال بی ک دە ساڵ ١٩٥٧ بەرهەم یەتوویی"	Pehley	Pahleh	Southern Kurdish
With radio substituting the stage, several Kurdish writers, such as Eskerê Boyîk (b.1941) and Ezizê Gerdenzerî (b.1945), wrote their first plays for the radio.	ڤەگەرد ئەڤەی ک ڕادیۆ جای نمایش فیزیکی گرت، چەندین نڤیسکار کورد، جوور عەسکەرێ بووییک (ڤەدیریەتەی ١٩٤٥) و عەزیزێ گەردەنزەری (ڤەدیریەتەی ١٩٤٥)، یەکەم شانۆنامەل خوەیۆن ڤەر ڕادیۆ تئاتر نیسەنن	Pehley	Pahleh	Southern Kurdish
By broadcasting these plays and songs in Kurdish, Radio Yerevan played an important role in the cultural life of the Kurds both inside and outside the USSR’s borders, especially in Turkey where the Kurdish language was banned.	ڕادیۆی ئێرەڤان ڤە پەخش‌کردن ئێ شانۆنامە و گورانیلە ڤە زۆن کوردی، ڕۆڵ گرینگێ دە ژیان کولتووری کوردەل ناو و دەرەوەی سنوورەل یەکێتی سوڤیەت داشت، بەتایبەت دە تڕکیە ک زۆن کوردی قەدەغە کریایی	Pehley	Pahleh	Southern Kurdish
In 1980, the Kurdish Theatre of Tbilisi was founded by Mirazê Uzo Ceferov (1947–2008), becoming Georgia’s first Kurdish theatre company.	دە ساڵ ١٩٨٠، شانۆی کوردی دە تفلیس ئەژلایەن میرازێ ئوزۆ جەعفەرۆف (٢٠٠٨-١٩٤٧) ئەڵمەزریا و یەکەمین گرووپ شانۆی کوردی گورجستان پێک یەت	Pehley	Pahleh	Southern Kurdish
This had been made possible after the Georgian Communist Party’s adoption of a more tolerant policy towards minorities.	ئەڤەیش دمای ئەڤەی حزب کۆمۆنیست گورجستان سیاسەت لێبوردەییێ ڤەراڤەر ڤە کەمینەل گرتەڤەر ممکن بی	Pehley	Pahleh	Southern Kurdish
Staged in April 1980, Eskerê Boyîk’s comedy Sinco Qîza Xwe Dide Mêr (The Wedding of Sinjo’s Daughter) marked the beginning of Kurdish theatre in Georgia.	"کۆمدیای عەسکەرێ بۆییک، ""سنجۆ قیزا خوە ددە مێر""، ک دە ئاپریل ١٩٨٠ نمایش کریا سەرەتای شانۆی کوردی دە گورجستان بی"	Pehley	Pahleh	Southern Kurdish
This play was soon followed by Cîran (Neighbour), based on a play by Georgy Khugayev and Xecêzerê û Siyabendo by Haik Beylerian, translated into Kurdish by Tosinê Re ̧sîd (b.1941).	"زی‌زی دمای ئێ شانۆگەرییە، ""جیران"" ک ڤەسەر بنەمای شانۆگەرییێ ئەژ گئورگی خۆگایف و شانۆنامەی ""خەجێ‌زەرێ و سیابەندۆ"" ئەژ نڤیسین هایک بەیلەریان بی تۆسنێ ڕەشید (ڤەدیریەتەی ١٩٤١) ئەڵگەردەنیا سەر زۆن کوردی چییەو نوا"	Pehley	Pahleh	Southern Kurdish
Re ̧sîd’s Siyabend û Xecê was published by Roja Nû publishing house in Stockholm in 1988.	"کتەو ""سیابەند و خەجێ"" نڤیسین ڕەشید دە ساڵ ١٩٨٨ دە ستۆکهۆڵم ئەژ لایەن چاپەمەنی ""ڕۆژا نوو"" چاپکریا."	Pehley	Pahleh	Southern Kurdish
It was Xesû (Mother-in-law), an adaptation of the Azerbaijani playwright Mehdi Shamkhalov’s play, that became the company’s most popular production.	"یە ""خەسوو""، ئقتباسێ ئەژ شانۆنامەی شانۆنامەنڤیس ئازەربایجانی مەهدی شەمخالۆف بی ک ڤە دڵخوازترین بەرهەم تئاتر کوردی"	Pehley	Pahleh	Southern Kurdish
Directed by Mirazê Uzo, this play won awards in two Soviet festivals and toured several countries including Armenia in 1983, Kazakhstan in 1987, Russia in 1988 and 1990, France in 1991 and Syria in 1992.	شانۆنامەکە ڤە دەرهێنەری میرازێ ئوزۆ دە دوو فستیڤاڵ سوڤیەت خەڵات ڤەدەس ئەورد و دە چەن ڤڵات جوور ئەرمەنستان دە ساڵ ١٩٨٣، قەزاقستان دە ساڵ ١٩٨٧، ڕووسیە دە ساڵ ١٩٨٨ و ١٩٩٠، فەرانسە دە ساڵ ١٩٩١ و سووریە دە ساڵ ١٩٩٢ تووڕ ڤەرێەو برد	Pehley	Pahleh	Southern Kurdish
It was after this success, Jafarova states, that the theatre was given the official title of ‘Popular Theatre’ 	"جەعفەرۆفا دەمتەقە ئەژ ئەڤە کەرێ ک دمای ئێ سەرکەفتنە بی ک ڤە تئاتر نازناو فەرمی ""تئاتر مەردمی"" بەخشیا."	Pehley	Pahleh	Southern Kurdish
