en_sentence	translation	variety	county	orthography
whose territories span four countries: Turkey, Iran, Iraq, and Syria.	ک خاکێان ها نامڕاس چوار ڤڵات تورکیە، ئێران، سوریە و عێراق.	Sahneyi	Sahna	Laki Kurdish
The Kurds were generally considered a troublesome minority likely.	کوردەل ڤە تەرز گشتی جوور کەمایەتیێ موزاحم ڤە ژمارە ماتن ک مەتۊنستن	Sahneyi	Sahna	Laki Kurdish
to jeopardize the stability of the Middle East	سەقام ڕووژهەڵات نامڕاس بایژێنە مەترسی.	Sahneyi	Sahna	Laki Kurdish
"However, if one defines ""minority"" as a weakened and disenfranchised group,"	سەرڕا؛ ئەگەر کەسێ لاهناێ «کەمایەتی» ئەڕا کوومەل زەبون و پەڕاوێز کەتێ ڤەکار بەۏرێ؛	Sahneyi	Sahna	Laki Kurdish
the term no longer applies.	دی ئی لاهنا ڤەکار نمای.	Sahneyi	Sahna	Laki Kurdish
The twenty-first century is now referred to by some as the century of the Kurds	سەدەی بیست و یەکەم ڤە لای بەزێ کەس سەدەی کوردەل نامگیرە ماو.	Sahneyi	Sahna	Laki Kurdish
Moreover, neither the Kurds themselves nor the countries containing their populations	زیاتر ڤە یەیشە، نە کوردەل و نە ڤڵاتەلێ ک جەماوەر کورد ئێ نامێان نیشتەجێ هەن؛	Sahneyi	Sahna	Laki Kurdish
"use the term ""minority"" to refer to them."	ڤە لاهناێ «کەمایەتی» ئەڕان ئاماژە کردن ڤە کورد کەلک نمەگرن.	Sahneyi	Sahna	Laki Kurdish
The states reject the term because they seek to assimilate the Kurds	دەوڵەتەل ئەژ ڤەکاربردن ئی لاهنا دۊریە مەکەن چوون هانە شوون یەکدەست و یەکپارچە کردن کوردەل.	Sahneyi	Sahna	Laki Kurdish
into hegemonic, unified nation-states.	ڤە نامجا دەوڵەت بان دەست و ملی وژیان	Sahneyi	Sahna	Laki Kurdish
Epitomizing such discourse	نموونەێ ئەژ هانە شێڤەێ؛	Sahneyi	Sahna	Laki Kurdish
was that of Iran's Supreme Leader Ayatollah Khomeini, who said in November 1979:	قسەل ڕێبەر ئێران؛ ئایەتوڵا خومەینی ڤە نوامبر ساڵ 1979بی ک ڤت:	Sahneyi	Sahna	Laki Kurdish
Sometimes the word 'minorities' is used to refer to people such as Kurds, Lurs, Turks, Persians, Baluchis, and such. These people should not be called minorities, because this term assumes there is a difference between these brothers In Islam such difference has no place at all It is very probable that such problems have been created by those who do not wish the Muslim countries to be united the Kurds argue that 35 million people cannot be considered a minority. As early as 1923, when the fate of the Kurds was discussed at the Lausanne Conference the Kurds argued against minority status: The demand we make of the Lausanne Conference is not the protection of a minority it is the vindication of the right to live of a great independent people with a country of its own.	جار ڤەختێ ئەژ واژەی «کەمایەتی» ئەڕان ئاماژەکردن ڤە مەردمانێ جوور کورد؛ لور؛ تورک؛ فارس؛ بەلوچ و... کەلکە مەگیرێرێ	Sahneyi	Sahna	Laki Kurdish
By the turn of the twenty-first century	ئی کەسەلە نەبایست کەمایەتی نام بگرن	Sahneyi	Sahna	Laki Kurdish
the Kurds in different parts of Kurdistan had revolutionized their status by casting themselves as an ethno-national group with a legitimate right to self-determination	؛ چوون ئی لاهنا باوەرێ یەسە ک ڤە ئی نامە جیاوازیێ هەسە نامجا بەرادەران.	Sahneyi	Sahna	Laki Kurdish
while at the same time assuming a leading role in reshaping the geostrategic map of the region.	ڤە ئێسلام؛ هۊچ جیاوازیێ نیە.	Sahneyi	Sahna	Laki Kurdish
Greater Kurdistan: A Panoramic View	گاس هانە کێشەلێ ڤە دەست کەسەلێ ساز بیە	Sahneyi	Sahna	Laki Kurdish
Academic study of the Kurds has tended to focus on each Kurdish community as an individual unit.	ک نمەێتن ڤڵاتەل مسەڵمان یەکا بگرن	Sahneyi	Sahna	Laki Kurdish
But it is also essential to examine the dynamics that are common to all Kurdish communities, as well as to the four states that govern them.	کوردەل باوەڕیان هەس ک 35 مێلیون جەماوەر نمەتۊنن جوور کەمایەتی شناسە بوون.	Sahneyi	Sahna	Laki Kurdish
The panoramic view enables the observer to appreciate similarities as well as differences between the political systems that have developed in each of the states.	ساڵ 1923؛ ڤە کۆنفرانس لوزان هەنێ ڤە سەر چارە نۊس کوردەل باس کریا	Sahneyi	Sahna	Laki Kurdish
The Kurds are an ancient nation that has existed in the Middle East from time immemorial.	کوردەل دژ ڤە دووخ کەمایەتی؛ تاوتووێان کرد	Sahneyi	Sahna	Laki Kurdish
They consider themselves the descendants of the ancient Medes, and accordingly use a calendar that starts from the conquest of Nineveh by the Medes in 612 BC.	داواکاری ئیمە ئەژ کۆنفرانس لۆزان پشتگیری کردنمان جوور جەماوەر کەمایەتی نیە؛	Sahneyi	Sahna	Laki Kurdish
Thus, their calendar is six hundred years older than the Gregorian and more than one thousand years older than the Islamic.	بەڵکو بەرگیری ئەژ ماف ژیان خەڵک کەڵینگ و سەرڤەخوێ ڤەگەرد ڤڵات وژەسێ	Sahneyi	Sahna	Laki Kurdish
Unlike the Islamic calendar	ڤەگەرد سەرەتای سەدەی بیست و یەکەم	Sahneyi	Sahna	Laki Kurdish
the Kurdish calendar begins in the month of March	کوردەل ڤە بەشەل جیاواز کوردستان ڤەگەرد دیاری کردن وژ جوور جەماوەرێ ملی ڤەگەرد ماف ڕەوای دیاری کردن چارەنۊس؛ دووخ و ژیان وژ ڤە تەرز چەمگیرێ گوەڕانۊن.	Sahneyi	Sahna	Laki Kurdish
during which their holiest festival, Newroz, takes place.	هامکات ڤەگەرد پێشەنگ بین؛ ئێ دوارەسازی نەخش ژێوئستراتیژیک مەنتەقە،	Sahneyi	Sahna	Laki Kurdish
kurd did, however, establish autonomous principalities under the Ottoman Empire	کوردستان کەڵینگ: چەمگەێ پیەنادارتر	Sahneyi	Sahna	Laki Kurdish
These principalities survived for some three to four hundred years,	توێژینەوەل ئاکادمیک ڤە باوەت کورد هەمیشە هەۊڵ داسێ تا هەر کام ئەژ کوومەڵگال کورردی ڤە شێڤەی پارچەێ جیا بەرەسی کەێتێ	Sahneyi	Sahna	Laki Kurdish
until the Ottomans dismantled them in the mid-nineteenth century.	ئەمان؛ خوەنینێ گشت جموجۊلەل هامبەش کوردستان و چوار دەوڵەت حاکم ڤەی ناوچەیشە هەڤەجێە.	Sahneyi	Sahna	Laki Kurdish
The Kurds who lived concurrently in the Persian Empire	ئی ڕوانگە پیەنادارە ڕێگا ڤە چەمدارەل و شیکارەلە مەێ ئەڕا دەس نیشانکردن هامبەشی و جیاوازی ڤە نامجا سیستمەل سیاسیێ ک ڤە هەر یەک ئەژ ئی دەوڵەتەلە پەڕە دریاسە بنان	Sahneyi	Sahna	Laki Kurdish
did not have the privilege of developing an autonomous principality,	کورد نەتەوەی کۏنە ڤە ڕووژهەڵات نامڕاس هەر ڤە دێرا ڤجود داشتێە.	Sahneyi	Sahna	Laki Kurdish
which may explain their inferior political status in modern times relative to the other communities	وژیان ڤە پاشمەنەی مادە مەزانن و ڤە بوونە یە ئەژ ساڵنامەێ کەلکە مەگرن ک ڤەگەرد ڕووداو فەتح نەینەوا ڤە ساڵ 612 پێش ئەژ زایین دەست ڤەرن مەکەرێ.	Sahneyi	Sahna	Laki Kurdish
Following the collapse of the Ottoman Empire at the end of War World I and the molding of the modern Middle East, the Kurds found themselves divided among four states: Turkey, Iran, Iraq, and Syria.	ڤەی باوەتە ساڵنامەکەیان شەش سەدە ڤە ساڵنامەی زاینی کۏنەترە و زیاتر ئەژ هەزار ساڵ ڤە ساڵنامەی ئێسڵامی.	Sahneyi	Sahna	Laki Kurdish
While geographically speaking, the Kurdish territories remained contiguous,	بەرچەپ ساڵنامەی ئێسڵامی،	Sahneyi	Sahna	Laki Kurdish
they were cut off from each other politically.	ساڵنامەی کوردی ئەژ مانگ مارسەڤە دەست ڤەرن مەکەرێ	Sahneyi	Sahna	Laki Kurdish
Over time, each community developed its own unique characteristics, which mirrored those of the states in which they lived.	کە پیرووزترین جەژنیان؛ نەوڕووژ، ها نام ئی مانگە.	Sahneyi	Sahna	Laki Kurdish
Seeking to establish a nation-state model, the central governments in all these states employed similar methods vis-à-vis the Kurds:	ئەمان ڤە سەردەم عوسمانیا، کورد تۊنستانە میرنشینیەل خودسەرێان داشتۊ.	Sahneyi	Sahna	Laki Kurdish
denial of Kurdish identity, de-Kurdification	ئی میرنشینەلە نزیکای سێ تا چوار سەدە بەردەوام بین	Sahneyi	Sahna	Laki Kurdish
oppression, the creation of security belts	تا عوسمانیەل ڤە نامڕاس سەدەی نوزدەهەما دانیانە لا.	Sahneyi	Sahna	Laki Kurdish
transfer of population	کوردەلێ ک ڤە ئێمپراتۆری فارسا مەژیان	Sahneyi	Sahna	Laki Kurdish
and, in some cases, even ethnic cleansing	ئمتیاز دورستکردنی میرنشینان نیاشتێە؛	Sahneyi	Sahna	Laki Kurdish
The central governments also managed to establish mechanisms of cooperation among themselves that helped contain the Kurds for the greater part of the twentieth century.	کە مەتۊنێ پێگەی سیاسی نزمتریان ڤە سەردەم مۆدێرنا ڤە بەراورد ڤەگەرد کوومەڵگال تر ڕووشن بکەێ.	Sahneyi	Sahna	Laki Kurdish
The most famous of these was the Baghdad Pact of 1955,which included Turkey, Iraq and Iran.	دوماجای ڕمیان دەوڵەت عوسمانی ڤە کوتایی جەنگ جەهانی یەکەم و دورستبین ڕووژهەڵات نامڕاس نوو، کورد وژ دابەشکریا ڤە نامجا چوار دەوڵەت: تورکیە، ئێران، عێراق و سوریە.	Sahneyi	Sahna	Laki Kurdish
Its aim, among other things, was to contain the Kurds	ڤە هاڵێ خاکەل کوردستان ڤە ڕۊ جوغرافیایی ڤە شان یەکتریا بین.	Sahneyi	Sahna	Laki Kurdish
As for the Kurds	ئەوانە ڤە بابەت سیاسی ئەژ یەک جیاوا بوون	Sahneyi	Sahna	Laki Kurdish
notwithstanding the fact that they were fragmented	ڤە نەرمە نەرم هەر یەک ڤە بەشەل کوردستان کەسایەتی تایبەتێ پەیدا کردن ک جامەکێ بی ئەژ دەوڵەتەلێ ک ڤە نامیانە مەژیان.	Sahneyi	Sahna	Laki Kurdish
and their national identity suppressed	ڤە دومای هەۏڵدان ئەڕای دامەزراندنی مۆدێلێ دەوڵەت نەتەوەیی، حکومەت ناوەندیەل ڤە هەر چوار ناوچەی کوردستان پەنایان برد ڤە جێبەجێ کردن پراکتیکی هامشێڤە ڤە پێوەندی گەرد کوردا	Sahneyi	Sahna	Laki Kurdish
they had certain common features that distinguished them from their neighbors	هاشا کردن ڤە ناسنامەی کورد	Sahneyi	Sahna	Laki Kurdish
and helped them overcome the consequences of the regimes' policies.	کورد تاوانن و گوەڕانن دمۆگرافی، سەرکوتکردن،،	Sahneyi	Sahna	Laki Kurdish
"Aziz Mahir described these features as ""historical memory, language and territory,"""	کووچ نیشتەجێەل کورد	Sahneyi	Sahna	Laki Kurdish
"as well as the common myth of descent from the ancient Kurds that could be traced to ""the memory of Kurdish common historyits golden age, heroes and symbols"	و ڤە بڕێ هاڵەت جینۆساید و پاکتاوکردن نیشتەجێەل	Sahneyi	Sahna	Laki Kurdish
Similarly, the Kurdish language with all its dialects, including Kurmanji, Sorani, and Zaza,	ڤە بەش فرەێ ئەژ سەدەی بیستەم، حکومەتەل ناوەندی حاکم ڤە کوردستان تەنانەت هامکار بین ئەڕا دورستکردن مکانیزمێ ڤە بوونە دەستبڕ کردن کورد.	Sahneyi	Sahna	Laki Kurdish
has been a very potent feature of Kurdish identity –	دیاریترین ئە قەراردادەلە پەیمان بەغدا ساڵ1955 بەین تورکیە و عێراق و ئێران بی	Sahneyi	Sahna	Laki Kurdish
so much so that all the central governments sought to eliminate it through policies of Arabization, Turkification and Persianization, or what was termed linguicide	ڤە لادەست چێیەل تر مەبەست ڤەی پەیمانەلە سنووردارکردن کورد بی.	Sahneyi	Sahna	Laki Kurdish
Political Islam did not cut deep roots in Kurdish society (unlike the societies of its neighbors), nor did it play an important role in the Kurds’ identity formation, national movement, or political performance.	ڤە باوەت کورد	Sahneyi	Sahna	Laki Kurdish
"weak hold of Islam on the Kurds is illustrated in the saying: ""Compared to the unbeliever, the Kurd is a Muslim"	سەرەڕای پارچە پارچە بینیان	Sahneyi	Sahna	Laki Kurdish
"As Mahir suggests, Islam was not their primary identity marker: ""Modern Kurdistani political culture is deeply rooted in national rather than religious identity."""	و سەرکوتکردن ناسنامەی نەتەوەیان	Sahneyi	Sahna	Laki Kurdish
In addition, the Kurdish conception of Islam has strong mystical overtones, and many Kurdish ulama were affiliated with a tariqat, or mystical order.	بڕێ تایبەتمەندی هامبەشیان بی کە ڤە هامسالێان جیایانە مەکردا	Sahneyi	Sahna	Laki Kurdish
The eminent scholar Martin Van Bruinessen described the relationship between religion and nationalism in Kurdistan as often strained and ambivalent.	و دەستمێەتان مێارد ئەڕان سەرکەتن ڤە بەرامبەر سیاسەتەل ڕژێمەل دەسەڵاتدار.	Sahneyi	Sahna	Laki Kurdish
"Many leading nationalists,"" he maintained, ""were irreligious or at least dissatisfied with the strong hold of mullahs and sheikhs on the people"	ئەزیز ماهێر ئی تایبەتمەندیە ڤە «بیرەوەری مێژوویی، زووان وقەڵەمڕو سەرزەمینی» و ئەفسانەڵ هامبەش سەبارەت ڤە ڕەچەڵەکێ دیرووکی کورد ڤەسف کردێە.	Sahneyi	Sahna	Laki Kurdish
It has, on the other hand, usually been the orthodox Muslims who formed the backbone of the Kurdish movement.	ک ماوا یە ڤە «بیرەوەری مێژووی هامبەش کورد و سەردەم زەڕینێ کورد و پاڵەوانەل و نەمادەل کوردی» زانست.	Sahneyi	Sahna	Laki Kurdish
In order to gain support for their nationalist objectives, secularist intellectuals have time and again had to reach an accommodation with religion	هەر ڤەی شێڤە؛ زوان کوردی ڤەگەرد کول شێڤەزارەلێ، جوور کورمانجی، سۆرانی، و زازا و ...	Sahneyi	Sahna	Laki Kurdish
ten	یەکێ ئەژ تایبەتمەندیەل فرە دیاری ناسنامەی کوردی بیە.	Sahneyi	Sahna	Laki Kurdish
In the twenty-first century, the Kurdish world has been undergoing paradigmatic shifts, the most important of which is national revival and reclamation of identity.	تا ڕەدەی ک گشت حکومەتەل ناوەندەی ڤە سیاسەتەل عەرەبکردن (تەعریب) ، تورکیکردن، فارسیکردن (تەفریس) ، یان ئەڤە ک ڤە بن زووان کوشیە مووشن، ڤە شوون بن بڕ کردنێ بینەسا.	Sahneyi	Sahna	Laki Kurdish
Various factors have played a role in this renaissance	ئێسڵام سیاسی، بەرچەپ کوومەڵگال هامسا کوردستان، نەتەنیا ڕەگ و ڕیشەی قۊڵ ڤە کوومەڵگای کوردستانا پەیدا نەکرد؛ بەڵکو ڕۆڵ تایبەتیکیش ڤەنام پاگرتن شوناسێ کوردی شوڕشەل نەتەوەیێ ڤەگەرد کردار سیاسی نیاشت.	Sahneyi	Sahna	Laki Kurdish
In the twenty-first century, the Kurdish world has been undergoing paradigmatic shifts, the most important of which is national revival and reclamation of identity.	بنکەی لاواز ئێسلام ڤە نام کوومەڵگا کورد ڤەی قسە دیاریە ماوا: «ڤە بەراوەرد ڤەگەرد کافر، کورد مسەڵمانە».	Sahneyi	Sahna	Laki Kurdish
the crucial role of new media	عەزیز ماهێر مووشێ: «ئێسلام نیشاندەر ناسنامەی سەرەکی کورد نیە و کولتوور سیاسی مۆدێرن کوردستان ڕیشەی قۊڵ ڤە شوناس نەتەوەیی کورد دێرێ نەک شوناس ئایینی کورد».	Sahneyi	Sahna	Laki Kurdish
which enabled the revival of the Kurdish language	جیا ڤە یە فام کردن کورد ئەژ ئێسلام ڕەگەل عرفانی زووردارێ دێرێ و فرەی ئەژ ڕێبەرەل ئایینی کورد پەیوەندی ڤەگەرد تەریقەت عرفانی تایبەتێ داشتێانە.	Sahneyi	Sahna	Laki Kurdish
and facilitated cross-border ties among Kurds of the four regions	پەیجورێ ناسریا؛ مارتن ڤان بروینسن پەیوەندی ئایین و ناسیۆنالیزم ڤە کوردستانا فرەجار تاریک و ناکوک ڤەسف کردۊە.	Sahneyi	Sahna	Laki Kurdish
the role of the diaspora as an energizer of Kurdish identity formation thanks to the freedom of expression it enjoys in the West;	: فرەێ ئەژ ناسیۆنالیستە پێشەنگەل کورد غەیرە مەزهەبی بین یا لانیکەم ئەژ جێگای مەلا و شێخ ڤە چەم خەڵک ناڕازی بین.	Sahneyi	Sahna	Laki Kurdish
and the spread of education systems which, notwithstanding their severe restrictions	ئەژ لایتر ڤە شکل گشتی مسڵمانەل باوەڕمەند پشتگیرێ جمشتەل کوردی بینە.	Sahneyi	Sahna	Laki Kurdish
did enable access to Kurdish culture, history, and heritage	ڕووشنبیرەل سکولار کوردیش فرە گل ناچار بینە ئەڕان ڤەدەست هاوردن پشتگیری ئەژ ئامانجەل ناسیۆنالیستی وژان؛ ڤەگەرد دین وژ سازگارا کەن.	Sahneyi	Sahna	Laki Kurdish
One aspect of this new identity formation is in the realm of terminology.	دە	Sahneyi	Sahna	Laki Kurdish
"The Kurds have built their ""imagined community"" around Greater Kurdistan (Kurdistan Mezin),"	ڤە سەدەی بیست و یەکەم جەهان کورد گوڕانکاری بنەڕەتی ڤە وژ دیەسا، گرانترینیان زنێ کردن ڕۆحێ نەتەوەیی و هەۏڵداین ئەڕای دوارە سەنن شوناسە.	Sahneyi	Sahna	Laki Kurdish
which has four centers, each representing a different region.	فاکتەرەل فرەێ ڕۆڵیان داشتێاسێ ڤەی ڕێنێسانسە،	Sahneyi	Sahna	Laki Kurdish
The centers are Bakur, in northern Turkey	لاوازبین ئە دەوڵەت و حکومەتەلە ک جاران کوردیان سەرکوت کردێە؛	Sahneyi	Sahna	Laki Kurdish
the largest and most politicized community, with approximately 15 million people	کاریگەری سەرەکی سۆشیال میدیا،	Sahneyi	Sahna	Laki Kurdish
Rojhelat, in eastern Iran	ک زوانی کوردییان زنێ کرد	Sahneyi	Sahna	Laki Kurdish
(the second-largest in population, but the least strong politically, with about 7.5 million people);	و ئاسانکەر پەیوەندییەل دەیشت ئەژ سنوورچوار پارچە کوردستان بیەسا؛	Sahneyi	Sahna	Laki Kurdish
Bashur, in southern Iraq (the closest to independence, with about 6.5 million people	ڕۆڵێ دیاسپورای کوردی ک ڤەگەرد کەڵک گرتن ئەژ ئازادی ئوروپا جوور نیرو بزێو کورد کار کردێەسێ	Sahneyi	Sahna	Laki Kurdish
and Rojava, in eastern Syria	و پەڕەدان ڤە سیستم پەڕوەردە سەرەڕای قەدەقە کردنەل توند حکومەتەل؛	Sahneyi	Sahna	Laki Kurdish
the newest to emerge as a political entity, with around 2.5 million people.	ئێمکان دەسرەسی ڤە کولتوور و مێژوو و میرات کوردی ئاسان کردێە.	Sahneyi	Sahna	Laki Kurdish
That the idea of Greater Kurdistan is widespread can be attested to by the fact	یەکێ ئەژ پەلەل شکل گرتن ئی شوناس نووە هەسە حەۏزە چاکسازیەل.	Sahneyi	Sahna	Laki Kurdish
that textbooks of Kurdish children in Syria present a map not of Rojava but of Greater Kurdistan, which was drawn in 1945.11	کورد «کوومەڵگەی عەقڵی» وژ ڤە دەۏر کوردستان کەڵینگ (کوردستان مەزن) بنیات ناسا	Sahneyi	Sahna	Laki Kurdish
Politically speaking	کە چوار ناوەندێ هەس کە هەرکامان نۊنەرایەتی ناوچە جیاوازێە مەکەن.	Sahneyi	Sahna	Laki Kurdish
the upheavals in the Middle East that started at the end of 2010 triggered what may be termed the Kurdish Spring.	«باکور»، ڤە باکوور و باشوور و باشووری ڕووژهەڵات تورکیە،	Sahneyi	Sahna	Laki Kurdish
This movement was the result of two simultaneous processes that reinforced one another:	کەڵینگ ترین و سیاسیترین پێهاتەی کوردستانە و نزیکەی 15 ملیۆن کەس جەماوەرێ هەس؛	Sahneyi	Sahna	Laki Kurdish
the collapse of the nation-states in the Fertile Crescent (Iraq and Syria),	ڕووژهەڵات، ڤە ڕووژئاوا و باکوری ڕووژئاوای ئێران،	Sahneyi	Sahna	Laki Kurdish
and the emergence of non-state actors	ڤە ڕۊ ژمارەی جەماوەر ڤەگەرد نزیکەی 7. 5 ملیۆن کەس پەیکەری دویەم کوردستانە ئەمان کەمترین دەسەڵات سیاسیێ هەس؛	Sahneyi	Sahna	Laki Kurdish
one of which is Kurdish communities seeking to fill the vacuum left by the central governments	باشور، ڤە باکوری عێراق نزیکترین ناوچەی کوردستانە ڤە سەر ڤەخۆیی و ژمارەی جەماورێ نزیکەی شەش ملیۆن و 500 هەزار کەسە	Sahneyi	Sahna	Laki Kurdish
At the same time, these non-state actors have been struggling with each other with a view towards gaining the upper hand.	؛ ڕووژاوا، ڤە باکور و باکوری ڕووژهەڵات سوریە	Sahneyi	Sahna	Laki Kurdish
For the Kurds, these sudden events provided the background to the crystallization of strong national movements;	نووترین پەیکەر کوردستانە کە ژمارەی جەماورێ نزیکەی 2 ملیۆن و 500 هەزار کەسە کە جوور دامەزراوەێ سیاسی سەر هیزداسا.	Sahneyi	Sahna	Laki Kurdish
the strengthening of transborder nationalism	یەکێ مودێل کوردستان کەڵینگ گشتگیرە؛ ماو ڤەگەرد ئی ڕاستیە سەلماندێا	Sahneyi	Sahna	Laki Kurdish
the blurring of geographical borders between the Kurds of the four countries	ک کتاوەل دەرسی ئایلەل کورد ڤە سوریە نە نەخشەێ ئەژ ڕووژاوا؛ بەڵکو ئەژ کوردستان کەڵینگ نیشانە مەێ کە ڤە ساڵ 1945 کێشریایە.	Sahneyi	Sahna	Laki Kurdish
state-building in Iraq and Syria	ئەژ ڕۊ سیاسیا	Sahneyi	Sahna	Laki Kurdish
and an undeclared war of independence against both the central government and IS.	پێشهاتەل ڕووژهەڵات نامڕاست ک ڤە کوتایی ساڵ 2010 دەست ڤەرن کریا؛ ماشە چێ چەکانا ک ماو نام بنینە ڤەهار کوردی.	Sahneyi	Sahna	Laki Kurdish
However, the pace of nation-building and state-building has varied from one region to another depending on the following factors	ئی جمشتە دەسکەت دو پڕۆسەی هامزەمان بی ک یەکترەکیان یارمەتیە مێا:	Sahneyi	Sahna	Laki Kurdish
the economic and strategic importance of the Kurdish region in question	ڕمیاین دەوڵەت-نەتەوەل هڵال ئاوادان (عێراق و سوریە)	Sahneyi	Sahna	Laki Kurdish
the balance of power between the non-state actor and its surrounding nation-state	و سەرهەڵدان بازیگەر غەیر دەوڵەتیەل؛	Sahneyi	Sahna	Laki Kurdish
the relations of the state and non-state actor with the West or lack thereof;	ک یەکێ ئەژنان کوومەڵگال کوردیێن و ڤە شوون پڕکردن ڤالایی ئە دەوڵەت-نەتەوەل ناوەندیە بین	Sahneyi	Sahna	Laki Kurdish
and most importantly, the strength and cohesion of Kurdish nationalism in comparison to state nationalism.	هەر ڤە ئە هاڵیشە؛ ئی بازیگەرغەیر دەوڵەتیە ئەڕان سەرکەتن ئەژ یەکتریشا ململانیە مەکردن.	Sahneyi	Sahna	Laki Kurdish
