English	Gilaki
For an instant she vacillated-long enough for the cook to scream-and then she was on the neighbor's terrace, and from there, by means of another awkward flight, she reached a tile roof.	یک دم لکتؤ بۊخؤرده -ؤ هي أننی لمˇلس وس بۊ کی آشپز ژگله بکۊنه- ؤ بازۊن همساده تلارکه سر ایسأبۊ ؤ اؤره' جي بکی-ویریس پرأگیته برسه تا یکته سفال-سر بؤمه.
There she remained like a misplaced weather vane, hesitating, first on one foot, then the other.	"اؤره یکته ""بادنما"" مۊسؤن کي خۊ جاجیگه' مؤقۊفأگۊده-بي بئسأ، نوأ-نوأ، أول یکته پایˇ سر بأزین اؤکته سر."
The family was urgently called and, in consternation, saw their lunch standing beside a chimney.	خانواده واخؤأبؤن ؤ هۊتؤ کي ایشؤنˇ مات واخۊشته-بۊ، خۊشؤنˇ نأهأره بدئن کي یکته دۊدکشˇ ورجه سرپا ایسأ!
The father of the family, reminding himself of the double obligation of eating and of occasionally taking exercise, happily got into his bathing trunks and resolved to follow the itinerary of the hen.	خانواده پئر، خۊ دۊته نیازه: خؤردن ؤ گاگلف ورزش گۊدنه یاد بأرده؛ خۊشالي خۊ سینه‌آؤˇ تؤنؤکه' وأزه ؤ قصد بۊده کرکˇ رچه بگیره، بۊشۊن اینˇ دۊمبال.
By cautious jumps he reached the roof, and the hen, trembling and hesitating, quickly picked an other direction.	مردأی چنته قایمˇ وازˇ همرأ برسه پۊشتˇبؤمه. کرک أني، دپرک-دپرک ؤ نوأ-نوأ، تۊنداتۊند یکته رچˇ دیگره پیش بیته.
The pursuit became more intense.	دۊمباله‌کشی دئه أمبستأبؤ.
From roof to roof, more than a block of the street was traversed.	بؤم به بؤم، خیابؤنˇ مئنˇ یکته بۊلۊکه بمتن.
Unpre pared for a more savage struggle for life, the hen had to decide for herself which routes to take, without any help from her race.	کرک کي دئه مننیس این أجی ویشتر خۊ زيندگي سر بجنگه، ناچار بۊ خۊ تصمیمه بگیره کي خأ کۊ «مسیر»ه بۊشۊن، بي اینکه یکته اینˇ همجنسؤن اینه بال بزنه.
In the young man, however, the sleeping hunter woke up. Lowly as was the prey, he gave a hunting cry.	جوؤنˇ مردایˇ مئنˇ بخۊته شکارچی أني دئه واخؤأبؤبۊ؛ دئه لاب خۊدشه گیر بأرده بۊ، رسماً کرک‌ ئبه فیشه زي!
Alone in the world, without father or mother, she ran, out of breath, concentrated, mute.	کرک، دۊنیا مئن تسکˇ تنها، بي پئر یا مأر، دؤأگيته، نفس-دکته، دخشارده، لال.
Sometimes in her flight she would stand at bay on the edge of a roof, gasping; while the young man leaped over others with difficulty, she had a moment in which to collect herself. Then she looked so free.	گاگلف خۊ پرأگیتنˇ مئن یکته بؤمˇ چاشپره سر ایسأی، کۊش-کأدۊبؤ؛ هۊتؤ کي جوؤن مردأی زۊرازۊري هرتئه بؤمه سروؤشت، کرک یک دم مؤله دأشت کي خۊدشه جمأکۊنه، بأزۊن خیال بکۊنه رها بۊبؤ.
Stupid, timid, and free. Not victorious, the way a rooster in flight would have looked.	گیج ؤ دیل-دپرک ؤ رها، نأ فاتح و بسر، اۊجۊر کي أگه یکته تله پرأگیته-بي نظر أمأ.
What was there in her entrails that made a being of her? The hen is a being.	کرکˇ دله چي دبۊ کي این أجي «دبؤن» چأگۊد؟ کرک یکجۊر دبؤن بو.
It's true, she could n't be counted on for anything.	راسه-راسه، هیچ‌چي مئن نشأس اینˇ سر حساب واگۊدن.
She herself couldn't count on herself-the way a rooster believes in his comb.	خۊدش أني خۊشˇ سر حساب واگۊده مننیس، اۊجۊر کي مثلاً یکته تله خۊ تاجˇ سر حساب واکؤنه.
Her only advantage was that there are so many hens that if one died another would appear at the same moment, exactly like her, as if it were the same hen.	اینˇ تنها خۊبی اي بۊ کي هأني کرک هننأ کي أگه یکته بمرده، اؤکته هۊ دم بأ اینˇ جا پۊرأکۊنه، خۊدشˇ مۊسؤن؛ بخیاله هۊ کرک بۊبؤ بي.
Finally, at one of the moments when she stopped to enjoy her escape, the young man caught her.	سراخره، یکته اۊ لحظه‌'ني کي ایسأی تا خۊ درشؤنˇ مزه' وأچیشه، جوؤن مردأی اینه بیته.
Amid feathers and cries, she was taken prisoner.	پر ؤ قۊ ؤ ونگˇ مئن، کرک أسیرأبؤ.
Then she was carried in triumph, by one wing, across the roofs and deposited on the kitchen floor with a certain violence.	بأزۊن مردأیˇ فأزٚمه مئن، یکته اینˇ بال، مردأیˇ دس، بؤمؤنˇ رچه'جی هکشؤنئه‌ بۊبؤ ؤ زرخ ؤ دۊرج دنیشؤنه‌ بۊبؤ آشپزخؤنه زمینˇ سر.
Still dazed, she shook herself a little, cackling hoarsely and uncertainly.	هلئه گیج بۊ؛ ایسکألی خۊشه دپرکؤنه، ناخاطرجمع ؤ بیته صدا همرأ یکته کتکتاز بۊده.
It was then that it happened. Completely overwhelmed, the hen laid an egg.	هي مئن-مئنه بۊ کي کرک، پاک جغأگیته، یکته مرغؤنه بۊده.
Surprised, exhausted.	مات واخۊشته، وأکته.
Perhaps it was premature.	شاید زۊد بۊ.
But immediately afterward, as if she had been bom for matemity, she looked like an old, habitual mother.	أمما هلئه هیچیي-نۊبؤ، یکته مأقۊل ؤ هرماله مأره مؤنس؛ بخیاله زأکماري وأسی دۊنیا بمأبي.
She sat down on the egg and remained that way, breathing, buttoning and unbuttoning her eyes.	کرک، مرغؤنه سر بنیشته، هۊتؤ بئسأ. نفس کشي ؤ خۊ چیشمؤنه فیچی ؤ هندئه واگۊد.
Her heart, so small on a plate, made the feathers rise and fall, and filled that which would never be more than an egg with warmth.	اینˇ قلب، یکته کۊچتأی کاسه مۊسؤن باني اینˇ پرˇ قۊ کي جؤر شۊ جیر أمأ، یکچئه گرمأگۊد کي یکته مرغؤنه ویشتر نبۊ!
Only the little girl was near-by and witnessed everything, terrified.	خالي کۊچˇ لاکؤی اۊ نزدیکي ایسأ بۊ ؤ بترسئه ایشؤنه همه' بدئه-بۊ.
"As soon as she could tear herself away, she got up off the floor and shrieked: ""Mama! Mama! Don't kill the hen any more! She laid an egg! She likes us!"""	تا بۊتؤنسه پیرأستن أجي دیل بکنه ویریسأ زمینˇ سر بئسأ زهأر بۊده: «مامان! مامان! دئه کرکه سیرأنبینین. مرغؤنه بۊده. کرک أمره دۊس دأنه!»
Everyone ran to the kitchen again and, silent, stood in a circle around the new mother.	هنده همتیي دؤأگیتن آشپزخؤنه مئن ؤ تامتيمبزه تازه مأره دؤرأگۊدن.
Warming her child, she was neither gentle nor harsh, neither happy nor sad; she was nothing; she was a hen.	خۊ زأکه گرمأ کأدبۊ، نأ مهربؤن بۊ نأ دۊرج، نأ خۊشال بۊ نأ غمگین؛ هیچ چي نبۊ؛ یکته کرک بۊ.
Which suggests no special sentiment.	کي هیچ حسˇ خاصیه نۊمۊد نۊکؤنه.
The father, the mother, and the daughter looked at her for some time, without any thought whatever to speak of.	پئر، مأر باني دتر، أننی اۊنه نیگا بۊدن، بي اینکه چیزی بدأرن کي اۊن أجی گب بزنن.
No one had ever patted the head of a hen.	هي کس تاهیسه یکته کرکˇ سره دسأنسئه بۊ.
"Finally, with a certain brusque ness, the father decided: ""If you have this hen killed, I'll never eat chicken again in my life!"""	"سراخر، أننی دۊرجی همرأ، پئر تصمیم بیته: «أگه شمه اي کرکه سیرأبینین، مۊ دئه هرگز مي زيندگي مئن ""جۊجه"" نۊخؤنم!»"
Me too! the little girl vowed ardently.	کۊچˇ لاکۊ تۊند ؤ تیج بۊته: «منأنی!».
The mother shrugged, tired.	مأر، بیحال خۊ شؤنه' جؤر تؤدأ.
Unconscious of the life that had been granted her, the hen began to live with the family.	کرک بي این‌ کي واخؤ بۊبۊن کي هنده اینه زيندگي هأدأن، خانواده همرأ زيندگي گۊدنه سرأگیته.
The little girl, coming home from school, threw down her school-bag and ran to the kitchen with out stopping.	کۊچˇ لاکؤی مدرسه'جي کي أمأ خؤنه، هۊتؤ بمأ-نمأ، خۊ کیفه تؤدأی زمین سر ؤ دؤأگیت آشپزخؤنه طرف.
Once in a while the father would still remember: And to think I made her run in that state! The hen became the queen of the house.	پئر هنۊز گاگلف شرمندگي أجي یاد أرد: «چۊتؤ اینه وأدأشتم اۊجۊر دؤأگیره!» کرک، بۊبؤبۊ خؤنه شامار.
Everyone knew it except the hen. She lived between the kitchen and the kitchen terrace, making use of her two capacities: apathy and fear.	همه اینه دؤنسن جؤزˇ کرک! اۊن آشپزخؤنه ؤ آشپزخؤنه تلارکهˇ مئن زيندگي گۊد، خۊ دۊ ته پستایي همرأ: لسگي ؤ ترس.
But when everyone in the house was quiet and seemed to have forgotten her, she plucked up a little of the courage left over from her great escape and perambulated the tile floor, her body moving behind her head, deliberate as in a field, while the little head betrayed her: moving, rapid and vibrant, with the ancient and by now mechanical terror of her species.	أمما وختي خؤنه مئنˇ آدمؤن تأم دکتن ؤ بخیاله اۊنه یادأگۊده بؤن، اۊ ایسکالی یأرشي کي اۊ پيلئه پرأگیتن أجی اينئه بۊمؤنسه بۊ، ویجؤأگیته ؤ خشت-فرش-بۊبؤ زمینه بمته؛ اینˇ جؤن اینˇ سره پس دبۊ، بخیاله چاکˇ مئن را شؤ دبۊن، سؤن ؤ لمˇلس. اینˇ کۊچˇ کلله أمما اینه دگلأدأ: لأکنه-دۊبؤ، تۊند ؤ پرکنئه-دۊبؤ، یکته کؤنه ترسˇ همرأ کي اینˇ همجنسؤنˇ شي بۊ ؤ دئه ألنی خۊدبخۊدي بۊبؤبۊ.
Occasionally, and always more rarely, the hen resembled the one that had once stood plain against the air on the edge of the roof, ready to make an announcement.	گاگلف ؤ هردفأ کمتر ؤ کمتر، اۊ کرکئه یاد أبرد کي چاشپره سر ایسأی بادˇ پیش، بخیاله خأ سؤخنراني بکۊنه!
At such moments she ifiled her lungs with the impure air of the kitchen and, if females had been able to sing, she would not have sung, but she would have been much more contented.	اي جۊر وختؤن خۊ ففه‌'نه پئسأگۊده هوا یأجی پۊرأگۊد ؤ دۊرۊسه کي مألي مرغؤن أني خؤندگیه تینن، أمما اۊ نۊخؤند ؤ هیتؤ ویشتر راضي بۊ.
Though not even at these moments did the expression of her empty head change.	البته اي جۊر وختؤن أني اینˇ خالي کلله حالت عوضأنۊبؤی.
In flight, at rest, giving birth, or pecking com-it was the head of a hen, the same that was designed at the beginning of the centuries.	پرأگیتنˇ مئن، استراحتˇ زمت، چئنˇ مؤقه، یا دؤنه فیچئن، هر زمت بۊبؤبي یکته کرکˇ کلله بۊ؛ هۊنی گه دئبار رنگˇریزی بۊبؤبۊ.
Until one day they killed her and ate her and the years went by.	تا اینکه یک رۊز اینه بکۊشتن ؤ بۊخؤردن ؤ سالؤنˇ سال دوأرسه.
Hills Like White Elephants	کۊلؤن، اسپه فیلؤنˇ مۊسؤن
Ernest Hemingway	ئرنئست همینگوی
The hills across the valley of the Ebro were long and white. On this side there was no shade and no trees and the station was between two lines of rails in the sun. Close against the side of the station there was the warm shadow of the building and a curtain, made of strings of bamboo beads, hung across the open door into the bar, to keep out flies.	ابرؤ درّه  ورأورˇ کۊلؤن، دراز بؤن ؤ سیفید. اي طرف نأ سایه دبۊ نأ دار. «ایسگا» أفتؤˇ جیر، دۊ رج ریلˇ مئن هننأ بۊ. ایسگا ورجه، دۊرۊس اۊنˇ دچکسه، ساختمؤنˇ گرمˇ سایه جیر، یکته پرده کي چن رج بامبؤیي مۊرخه' جي چاگۊده بۊبؤبۊ، «بار»ˇ در أجي وأرگنئه هننأبۊ کي مگزؤنˇ جۊلؤ گیت.
The American and the girl with him sat at a table in the shade, outside the building. It was very hot and the express from Barcelona would come in forty minutes. It stopped at this junction for two minutes and went to Madrid.	«امریکایي» ؤ اۊ «لاکؤی» کي اینˇ همرأ ایسأبۊ، بنیشتن یکته میزˇ پۊشت، ساختمؤنˇ بیرینˇ سایه‌دیمه. هوا خئلي گرم بۊ ؤ  چل دئقه دئه بۊمؤنسه بۊ تا قطارˇ اکسپرس، بارسلؤنا جي فرسه. ائره کي دۊتته ریل همدیگره وأبئن، دۊ دئقه ایسأی ؤ بازۊن شۊ مادرید.
‘What should we drink?’ the girl asked. She had taken off her hat and put it on the table. 	لاکؤی خۊشˇ کۊلا ویته بنأ میزˇ سر ؤ بپۊرسه: «چي بۊخؤریم؟»
‘It’s pretty hot,’ the man said.	مردأی بۊته: «هوا بقایده گرمیا!»
‘Let’s drink beer.’	«بئه آبجؤ بۊخؤریم»
‘Dos cervezas,’ the man said into the curtain.	مردأی پرده' رۊ بۊده بۊته: «Dos cervezas» .
‘Big ones?’ a woman asked from the doorway.	یکته زنأی، دربراسؤن أجي بپۊرسه: «پیل‌دنه؟»
‘Yes. Two big ones.’	«أهأ. پیل‌دنه».
The woman brought two glasses of beer and two felt pads. She put the felt pads and the beer glass on the table and looked at the man and the girl. The girl was looking off at the line of hills. They were white in the sun and the country was brown and dry.	زنأی دۊتته اؤخۊري آبجؤ بأرده باني دۊتته نمتي زیرجؤم. زیرجؤمؤن ؤ اؤخۊري‌ئنه فنأ میزˇ سر ؤ مردأی ؤ لاکؤکه نیگا بۊده. لاکؤی کۊلؤنˇ رجه پیرأسته دبۊ. افتؤˇ جیر سیفید بؤن ؤ اۊشؤنˇ دؤرˇورˇ محل رَش ؤ وأخۊشته بۊ.
‘They look like white elephants,’ she said.	لاکۊ بۊته: «خۊدي اسپه فیل!»
‘I’ve never seen one,’ the man drank his beer.	مردأی خۊشˇ آبجؤ سر بکشه بۊته: «مۊ تایسه بدئه ندأنم.»
‘No, you wouldn’t have.’	«دئنکس ني!»
‘I might have,’ the man said. ‘Just because you say I wouldn’t have doesn’t prove anything.’	«دئنکس ایسم! هأچي چۊن تۊ گونی نئم، دلیل نبنه کي هیتؤ ببۊن».
The girl looked at the bead curtain. ‘They’ve painted something on it,’ she said. ‘What does it say?’	لاکؤی تیرره‌یي پرده' نیگا بۊده بۊته: «اۊنˇ سر، رنگ أجي یکچي بنویشته هننأ. چي گۊنه؟»
‘Anis del Toro. It’s a drink.’	«آنیس دل تؤرؤ، یک جۊر مشرۊبه»
‘Could we try it?’	«بینیم چیسه؟»
The man called ‘Listen’ through the curtain. The woman came out from the bar.	مردأی دۊخؤنده: «مأ نیا!» پرده مئن أجي، زنأی بارˇ جي بیرین بمأ: «بنه چار رئال».
‘Four reales.’ ‘We want two Anis del Toro.’	«دوتته آنیس دل تؤرؤ خأنیم»
‘With water?’	«اؤˇ همرأ؟»
‘Do you want it with water?’	«اؤˇ همرأ خأني؟»
‘I don’t know,’ the girl said. ‘Is it good with water?’ 	لاکؤی بۊته: «مۊ نۊدؤنم. اؤˇ همرأ خؤبه؟»
‘It’s all right.’	«خؤبه!»
‘You want them with water?’ asked the woman.	زنأی بپۊرسه: «اؤˇ همرأ خأنین؟»
‘Yes, with water.’	«أهأ. اؤˇ همرأ»
‘It tastes like liquorice,’ the girl said and put the glass down.	«شیرین‌بیانˇ مزه' دأنه». لاکؤی اینه بۊته پسي خۊشˇ اؤخؤري‌ئه فنأ.
‘That’s the way with everything.’	«همه چي هیتؤره».
‘Yes,’ said the girl. ‘Everything tastes of liquorice. Especially all the things you’ve waited so long for, like absinthe.’	«أهأ، همه‌چي شیرین‌بیانˇ مزه' دأنه. مخصوصاً اۊ چیزؤني گه آدم پۊر زمت اۊشؤنˇ رفا بيسأبي. أبسنتˇ مۊسؤن.»
‘Oh, cut it out.’	«أه. وأبدي».
‘You started it,’ the girl said. ‘I was being amused. I was having a fine time.’	لاکؤی بۊته: «تۊ سرأگیتي. مي سر گرم بۊ مئه خۊش گۊذرؤنه-دبؤم.»
‘Well, let’s try and have a fine time.’	«خؤ بئه هنده حقˇسأی بکۊنیم أمره خۊش بۊگذره»
‘All right. I was trying. I said the mountains looked like white elephants. Wasn’t that bright?’ 	«خؤ! مۊ حقˇسأی کأدبۊم. بۊتم کۊهؤن، اسپه فیلؤنه مؤنن. مي گب جالب نبۊ؟»
‘That was bright.’	«جالب بۊ»
‘I wanted to try this new drink. That’s all we do, isn’t it – look at things and try new drinks?’ 	«مۊ خأستم اي يکته مشرۊبه آزمیت بگیرم. خالي هي کاره کؤنیم دئه؟ چیزؤنه نیگا کؤنیم ؤ تازه مشرۊبؤنه آزمیت گینیم. نئه؟»
‘I guess so.’	«أهأ گياکۊن.»
The girl looked across at the hills.	لاکؤ کۊلؤنˇ رجه نیگا بۊده، بۊته:
‘They’re lovely hills,’ she said. ‘They don’t really look like white elephants. I just meant the colouring of their skin through the trees.’	«چي خؤجیري کۊلن گه! راسه-راسه اسپه فیلؤنه نۊمؤنن؟ مي منظۊر اۊشؤنˇ پۊستˇ رنگ بۊ دارؤنˇ مئنأجي.»
‘Should we have another drink?’	«یکته دئه بۊخؤریم؟»
The warm wind blew the bead curtain against the table. ‘The beer’s nice and cool,’ the man said.	گرمش، مؤرخه‌یي پرده' رۊ به میز تۊکؤم بدأ. مردأی بۊته: «آبجؤ الؤن مزه دئنه!»
‘It’s lovely,’ the girl said.	لاکؤی بۊته: «خئلی خؤجیره»
‘It’s really an awfully simple operation, Jig,’ the man said. 	مردأی بۊته: «جیگ! یکته عملˇ ساده’. اصلاً نشأنه گۊتن عمله.»
‘It’s not really an operation at all.’ The girl looked at the ground the table legs rested on.	لاکؤی زمینه نیگا بۊده کي میزˇ لیگه‌'ن اۊنˇ سر هننأبۊن.
‘I know you wouldn’t mind it, Jig. It’s really not anything. It’s just to let the air in.’	«مۊ دؤنم اذئت نبني جیگ. راسه-راسه هیچ‌چي نئه. خالي گۊذارنن اۊنˇ مئن هوا بشي.»
 The girl did not say anything.	لاکؤی تام بزئه، هیچ‌چي نۊته.
‘I’ll go with you and I’ll stay with you all the time. They just let the air in and then it’s all perfectly natural.’	«تي همرأ هأنم،  تي ورجه ایسأم. اۊشؤن أني خالي هوا دۊکؤنن اۊنˇ مئن، بازين همه‌چي بنه خۊدی رۊزˇ اول.»
‘Then what will we do afterwards?’	«بازۊن خأ چي بکۊنیم؟»
‘We’ll be fine afterwards. Just like we were before.’	«بازۊن بنیم خؤرؤم-خؤرؤمه. هۊتؤ کي بیم.»
‘What makes you think so?’	«کي بۊته؟»
‘That’s the only thing that bothers us. It’s the only thing that’s made us unhappy.’	«خالي هینه کي بۊبؤ أمئه دۊم‌کَل. هي ایشکله کي أمئه زندگي‌ئه زهرأگۊده دأنه.»
The girl looked at the bead curtain, put her hand out and took hold of two of the strings of beads.	لاکؤی، مؤرخه‌یي پرده' نیگا بۊده، خۊشˇ دسه پیش ببرده دۊ رج مؤرخه' بیته.
‘And you think then we’ll be all right and be happy.’	«تۊ خیال کؤني بازۊن أمه خؤرؤم-خؤرؤمأ بنیم ؤ همه چي خۊبأ بنه»
‘I know we will. Yon don’t have to be afraid. I’ve known lots of people that have done it.’	«أهأ. نترس. خئلي‌ئنه شناسنم اي کاره بۊده دأنن»
‘So have I,’ said the girl. ‘And afterwards they were all so happy.’	لاکؤی بۊته «منأني شناسنم. بازین همه شاد ؤ خۊش بۊبؤن»
