ckb_sentence	translation	variety	county	orthography
یەکێکیان ئەحمەدی کاسی نوسیویەتی.	یوەمشان ئەحمەدی کاسی نویستەن.	Standard		Hawrami
دیموگرافیای سنوری بۆ هەمیشە بگۆڕێت و کورد بە تەواوی لە ناوچەی ئارامدا بکاتە کۆچبەر.	دیموگرافیا سنوری پەی هەمیشەی بفاڕۆنە و کورد بەتەمامی جە ناوچەی ئارامەنە کۆچبەر بکریۆنە.	Standard		Hawrami
لە خانەقین و ناوچەکانی نیشتەجێن کە سەرجەمیان نزیکەی یەک ملیۆن کەسن.	خانەقین و ناوچەکێش نیشتەجانێ و سەرجەمشان نزیک بە یەک ملیۆن کەسێنێ.	Standard		Hawrami
بڕیاریدا ڕێگری بکات لە دروستبوونی شەڕی ماڵوێرانکەر لە سوریا و هەرێمەکەدا، هێزە شەڕانگێزە جیهانیی و هەرێمییەکان ئەو نەکەن بە ئامڕاز بۆ هەڵگیرساندنی شەڕەکە و دەستێوەردان لە سوریا و هۆزی میانی.	بڕیاش دا ڕاگیری جە هۆرگیرسنای جەنگی یانەۋێراکەری جە سوریا و هەرێمەکەنە بکەرۆنە و هێزە جەنگەرانە جیهانی و هەرێمیەکێ ئاڎی نەکەرانە بە ئامراز پەی قۆمیای جەنگەکەی و دەستوەردای جە سوریای و وەرهۆزی میانی.	Standard		Hawrami
هەموو شەوێ جلی مەکتەبی منداڵەکەم دەشۆم و لە خودام داوایە تاکو بەیانی وشک ببنەوە.	گرڎ شەوێ جلێ زاڕوڵە مەکتەبیەکەیم شۆرو و خوڎا خوڎایچما تا ساحبێ وشکێ باوە.	Standard		Hawrami
هاوکات کردە خۆکوژییەکە زیانێکی زۆری مادی بە چێشتخانەکە، باڵەخانەکانی دەوروبەری و چەند ئۆتۆمبێلێکی هاوڵاتیان داوە.	هاموەخت کەردە وێکوشیەکە زیانی فرەی ماددیش بە چاشتخانەکەی و باڵەخانێ دروبەری و چندین ماشینێ هاموڵاتیان یاونان.	Standard		Hawrami
پارەکەیم ژمارد.	زەڕکەشم ژمارا.	Standard		Hawrami
ژیان هێلانەیەکی ڕابردووە.	زوان هلیانەو ویەردەینە.	Standard		Hawrami
ئەمەش بووە بە هۆکارێک تا گرانی و هەژاری و نەداری زیادبکات و لە ئەنجامدا خەڵکەکە هیچ ئاسۆیێک بۆ چارەسەرکردنی شک نەبەن و پەنا بۆ خۆکوشتن و کۆتاییهێنان بە ژیانیان بەرن.	ئینێچە بییەن بایس تا گرانی و هەژاری و نەداری پەرە بسانۆنە و دەرەنجامشە خەڵکی کەی هیچ ئاسۆیە پەی چارەسەری نمەوینۆنە پەنا پەی وێکشتەی و دیمایی ئاوردەی بە ژیوایش باوەرۆنە.	Standard		Hawrami
هاتبوون بۆ سلێمانی تا بەژداربن لە یادی کوڕەکەیاندا.	ەۋە ئامێبێنۍ پەی سلێمانیێ تا بەشدری جە یادو کوڕەکەیشانە بکەرانێ.	Standard		Hawrami
هەموو دەزگایەکی ڕێنیشاندەر دەبێت پابەندی ئەم یاسایەبێت.	گرد دەسگایە ڕایاونەرە مشۆ پابەنڎوو ئی یاسایە بۆ.	Standard		Hawrami
کە پشتیان بەستووە بە ئازادی ژن و ژینگە پارێزی و ئیکۆلۆژی کۆمەڵایەتی بەدیدەهێنن، دەیانەوێت وەکو پارت و بزوێنەری ئەم پارتە لەم چوارچێوەیەدا تێبکۆشن و خەبات بکەن .	کە پەشت قایمەن بە ئازادیى ژەنێ و ژیۋگەپارێزی و ئیکۆلۆژیی کۆمەڵایەتی کەردەیی مەکریۆنە و بەدی ماۋریۆنە و گەرەکەن ئاڎێ چوون پارت و جمیەر جەی چوارچێۋەنە بکۆشانە و خەبات بکەرانە.	Standard		Hawrami
مینۆرسکی دەڵێت گۆران ییەکان لە ئەسڵدا لە گاوبارەبوون کە شوێنی سەرەتایان ناوچەی خەزەر و دەلیمان و تەبەرستان بووە.	مینوورسکی ماچۆ گۆرانێ جە ئاسڵەنە گاوبارە بیێنێ کە ئەوەڵ یاگێشا جە مەنتەقەو خەزەر و دەیلمان و تەبەرستانی بیێنە.	Standard		Hawrami
ئێستە داعش سەرێکانی و گرێسپی دژ بە کورد بەکاردەهێنێت.	ئیسە داعش جە سەرێکانی و گرێسپی دژ بەکوردی بەکاربەرۆنە.	Standard		Hawrami
خۆشبەختانە یان بەدبەختانە تەنانەت بە ڕوکەشیش بۆ بەرفراوانکردنی خەیاڵ یان دڵخۆشکردنی گەلی غەدرلێکراو چاویان بە هیچ شتێک نەکەوت.	وەشبەختانە یا بەدبەختانە تەنانەت بەڕواڵەت و پەی وەرپانیی خییاڵیی یا دڵوەشکەرییو گەلیی غەدر چەنە کریایچ بە هیچ کلوجێو نمەکەوت وەروو چەمان و واتان.	Standard		Hawrami
لە بنکەی فەرهەنگی ئەدەبی لە سنە مەلا مستەفا بێسارانی دانیشتنی ئەنجامدا کە بابەتە ئەدەبیەکانی هەفتەی تێدا هەڵسەنگێنرا.	جە سنە بنکەو فەرهەنگی ئەدەبی مەڵا موستەفا بێسارانی ئەرەنیشتەیش ئەنجام دا و بابەتێ ئەدەبیێ هەفتەی هۆرسەنگیێ.	Standard		Hawrami
بۆیە زمانی دایک بۆ هەموو کەسێک لە هەموو شتێک گرنگترە.	پۆچی زوانی ئەذایی پێ گرد ئینسانە جە گرد چێوە مۆهمتەرا .	Standard		Hawrami
کاتێک کە هاتمەوە سەیردەکەم کولانەکە پڕە لە مێش و پوشەکەشی لەوکاتەوەی ڕۆشتوم نەگۆڕدرابوو.	وەختێ ئامانێوە مڎیەو گولانەکە مەشا دانەنە و پوشەکەکەیچش چا وەختۆ لوێبێنا نەفاڕیابێ.	Standard		Hawrami
یەپەژە، نوێنەری سوریا و کۆمەڵێ لە هاوڵاتیان قارەمانانە دژ بە داگیرکەرییەکانی سوپا فاشیستەکەی تورکیا وەستانەوە.	یەپەژە و گەلێ سەرنیشت و وەرهۆرز سوریای قارەمانە دژ بە ئەرەگێرتەیی سپا فاشیستەکەو تورکیای مدرێنێۋە.	Standard		Hawrami
نەک گەرد و تۆزی ژەهراوی.	نەک گەردو توزی ژەهراوی.	Standard		Hawrami
لە دوای چالاکییەکە دوژمن بە تۆپ و هەلیکۆپتەری جەنگی بۆردوومان و تۆپبارانی کردووە، کوژراو و بریندارەکانی دورخستۆتەوە.	دمای چالاکییەکە دوژمن بە تۆپێ و هەلیکۆپتەرێ جەنگیێ بۆردومان و تۆپۋارانش کەردەن و کوشتۍ و بریندارەکەش بە کۆپتەر دوورێ ۋستێنێۋە.	Standard		Hawrami
عادل عەبدولمەهدی سەرۆک وەزیرانی عێراق نامەی دەستلەکارکێشانەوەکەی کە بۆ پەڕلەمانی ناردبوو ئاشکرا بووە و داواکارە کە پەڕلەمان بەزوویی دەستلەکارکێشانەوەکەی قبووڵبکات.	عادل عەبدولمەهدی سەرەک وەزیرانو ئێراقی نامێ دەست جەکارکێشتەکەیش کە پەی پارلەمانی کیاستێنە ئاشکرا بییە و جە میانشەنە داۋاکارەن پارلەمان بەزوویی دەست جەکارکێشاکەیش قبوڵ بکەرۆنە.	Standard		Hawrami
جێبەجێکار و نوێنەری حیزبی و حوکمی بەژداربوون.	پەیجۆرکارێ و نمایەندێ حزبیۍ و حکومیۍ بەشدارێ بیۍ.	Standard		Hawrami
ڕێزان ساریجە و نەورۆز ئوویسال پارێزەرەکانی ڕێبەری گەلی کورد عەبدوڵڵا ئۆجەلان لە شاری بورسا بە کەشتی بردران بۆ زیندانی ئیمرلی.	ڕێزان ساریجە و نەورۆز ئوویسال پارێزەرێ ڕێبەرو گەلو کوردی عەبدوڵا ئۆجالان جە شارو بورسای بە کەشتی شیێ زیندانو ئیمرلی.	Standard		Hawrami
غرور ناڕوخێت.	غرور مەوریۆرە.	Standard		Hawrami
ڕۆح خرۆشا و نە ڕوناکیێک دیارە نە مانگەشەو.	ڕۆح خراشیا و وەرچەمگا بێ ڕۆچن و مانگەشەوە.	Standard		Hawrami
لە عێراق دەستگیرکران و دواتر لەسێدارە دران.	و ئێراقی دەستگیرێ کریێ و دماتەر جەدار دریێ.	Standard		Hawrami
ئێمە هێشتا مویێکمان هەڵنەوەریوە بۆیە ناکەوینە گیاندان و هاوار و داد.	ئێمە هەڵای موێومان نەڕێزان مەگنمێنە گیان کەنشت و هاوار و داد.	Standard		Hawrami
کاکەییەکان هەڵیانکوتایە سەریان، گوندەکەیان گرت و خەڵکەکەیان کوشت.	کاکەیەکێ مجیای ملشارە و دەگاکێشا گێرتە و خەڵکەکەشا کوشت.	Standard		Hawrami
دوای چالاکیەکە ترافیکی وێستهگەکە تەقیوەتەوە و زیانێکی زۆری مادی بەر ناوچەکە کەوتووە.	دوای چالاکیەکە ترافیکی وێستگەکە تەقیوەتەوە و زیانێکی زۆری مادی بەر ناوچەکە کەوتووە.	Standard		Hawrami
لە پیرانی لای خۆمان دەمانبیست کە فڵان زۆر قسە دەکات.	جە پیرا لا وێما ئەژنەوێنمێ کە بیە فلانی فرە ڕێسۆ .	Standard		Hawrami
ئەو زمانەی کە قسەپێکەرەکانی ڕۆژ بە ڕۆژ  ژمارەیان کەم دەبێتەوە.	زوانەی کە گۆکەرێش ڕۆبەڕۆ ژمار و نفووسشا کەم بۆوە.	Standard		Hawrami
وادەردەکەوێت کە یارسان زیاتر لە ئاینی مێهری نزیکترە وەک لە ئاینی زەردەشتی.	پاسە دیارا کە یارسان فرەتەر بە ئایینوو مێهری نزیکتەرا تا زەردەشتی.	Standard		Hawrami
هاتومەتەوە بۆ ماڵەوە.	ئامانیوە یانە.	Standard		Hawrami
چونکە لەو کاتەدا پیاوانی ئەو سەرزەمینە دینیان زەردەشتی بووە.	چون ئاوەختی مەردمو ئا سەرزەمینە دینشان زەردەشتی بیەن.	Standard		Hawrami
بۆردوومانیان کردونەتەوە.	یشان بۆردومانێ کەردێنێۋە.	Standard		Hawrami
وەکو تاوانێک لە بەرامبەر خۆیانەوە ناویانبردووە، لەو چەند ساڵەی ڕۆیشتووە تاکو ئەمڕۆ هەزاران خەمخۆری زمانی دایکیان دەستگیر کردووە.	پسۆ تاوانێ جە وەرانوەروو وێشاوە نامێشا بەردەن و جە چن سالی ویەردە تا ئارۆ بە هەزاران خەم وەرێ زوانی ئەدائیشا دەس بەسەر کەردێنێ .	Standard		Hawrami
هەمان کوالیسیۆن خۆشحاڵی خۆیان دەردەبڕی و ئاماژەیان بە ماف و ئازادییەکان دەکرد بۆ کورد.	هەمان کوالیسیۆن خۆشحاڵی خۆیان دەردەبڕی و ئاماژەیان بە ماف وئازادیەکان دەکرد بۆ کورد.	Standard		Hawrami
بەم جۆرە دەنگی ناڕەزایەتیەکانی ناو داعش کپ کرانەوە و دوایی کۆتایی بە ناڕەزایەتیەکان هێنرا.	بەی تەورە دەنگە ناڕزایەکێ دلێ داعشی کپێ کریێوە و دمایی بە ناڕەزایەتیەکان ئاوریان.	Standard		Hawrami
هاوتەریب لەگەڵ سیاسەت ڕۆڵی لە ڕۆشنبیری و ڕۆژنامەگەری هەبووە.	هامتەریب چەنی سیاسەتی ڕۆڵش جە ڕۆشنگەری و ڕۆچنامەگەری بییەن.	Standard		Hawrami
لە پایتەخت کۆببێتەوە.	و پایتەخت کۆبیێۋە.	Standard		Hawrami
هیچ لایەنێکی دیکەی کوردی نییە.	ی و هیچ لایەنێوی تەری کوردی نییەن.	Standard		Hawrami
ژنی ئێزیدی دادەمەزرێن.	و ژەنێ ئێزدیێ مەرزیارە.	Standard		Hawrami
لە سەرجەم قوتابخانەکان زمانی کوردی قەدەغە کرا و بە زۆر زمانی کوردی شوێنی گرتەوە.	جە سەرجەم قوتابخانەکانە زوانی کوردی قەدەغە کریا و بە زۆر زوانی تورکی یاگێش گێرتەوە.	Standard		Hawrami
ئەمە لە دڵمدا دەنوسرێت و جار وبار لەبیری دەکات لەکوێ بڕیاریداوە، دڵ دەردەدارە و لە دوورەوە سەیرتان دەکات، ئاخ لە ڕۆشنتان هەورامییەکان بۆ ئەوروپا.	ئینە دڵمەن مەنویسۆنە و جار جار ویرش مەشۆوە چکۆنە قەرارش گێرتەن.ئاد دەردەدارەن و مەدیۆنە شۆنیتانەرە.ئاخ کە لوایو شمە ئەی هەورامیەکان پەی ئۆرووپای	Standard		Hawrami
لای ئێوە چەندە سەختە.	لاشوە چندە سەختەن.	Standard		Hawrami
تاریخیان گۆرانی ناوە.	و تاریخشان گۆرانش نامێن.	Standard		Hawrami
شوێنی کۆبونەوە	هامکات تورکیا ئۆپەراسیۆنەکێش پێسەو دژبەری وێش پەی داعشی و دلێنەردەیش نیشانەو گلێرگەو تورکیا و ڕای گردیی میاندەوڵەتی دان و کەردێنێش بە دەستکەوت پەی وێش.	Standard		Hawrami
ئەمە تاریخبوو وتی بە ڕۆڵەکانی وڵەتی سەنەندج کە درۆ ناکات و موستەفازادە لەسەر حەقە.	ئینە تارێخ بی واتش بە ڕۆڵەکانو وەڵاتی سەنەندەجی درۆ مەدۆنە و موستەفازادە سەر بە هەقەن.	Standard		Hawrami
ئەمجارە من وازم نەهێنا.	ئیجارە ئەمن وازم نمەئاورد.	Standard		Hawrami
ئەڵێن خۆ دەرمان هەیە.	ماجدێ خۆ دەرمانگێ هەنێ.	Standard		Hawrami
بە ڕاوەستان و تێکۆشان و فیداکاری گەلەکەمان بەتایبەتی ژن و گەنجە تێکۆشەرەکانمان ئازادیمان زیاتر و فراوانتر دەبێت و پەرەی پێ دەدەین.	بە مدرامان و کۆشای و فیدارکاری گەلەکەیمان بەتایبەتی ژەنی و گەنجێ کۆشاییشی ئازادیمان زیاتەر فراوانتەر مەبۆنە و پەرەش پنە مڎێمێنە.	Standard		Hawrami
ئەمە ڕاستییە و وەکوخۆی پێویست بە وتنی ناکات	ئینە هەقێقەتەن و عەینیەن لازم بە واتەی نمەکەرۆنە و هیچ تەوفیرێوەشان ویەرو ساختاریوە نییەن.	Standard		Hawrami
تاکو ئێستاش کۆنفوشیوس یون لە فەیلەسوفە بەناوبانگەکانی چینە کە زۆرترین جێدەستی دیارە.	تائیسەیچ کۆنفوشیوس یون جە فەیلەسوفە نامیەکاو تەمەدنو چینی کە فرەترین یاگەدەسش دیارەن.	Standard		Hawrami
بە بەژداری کوردی هەرچوار بەشی کوردستان کەمپین پێكهات.	بە بەشداری کوردێ هەر چوار بەشێ کوردستانی کەمپین پێکئاما.	Standard		Hawrami
لە کۆگاکەدا سەدان ئۆتۆمبێل دەستنیشان کراون و سەرجەمیان کراونەتە ئامانج بۆ تەقاندنەوەیان، لە ئاکامدا دەیان ئۆتۆمبێل بە تەواوی سوتێنراون و لەناوبراون بە دەیانی دیکەش زیانیان پێگەیێندراوە.	جە هەمبارەکەنە سەدان ماشینێ دەستنیشانێ کریێنێ و بە چەندین تەقنایێ پەیاپەیێ سەرجەمشان کریێنێ ئامانج و جە ئاکامەنە دەیان ماشینێ بە تەمامی سۆچنیێنێ و دلێنەبریێنێ و بە دەیانی تەریچ زیانشان ۋنە دریان.	Standard		Hawrami
ئەوەش نیگەرانی و توڕەیی خەڵکە کارەساتبارەکەی لێ کەوتوەتەوە.	ئانەیچە نیگەرانی و توڕەیی خەڵکە کارەساتبارەکەیش ونەکەفتنەوە.	Standard		Hawrami
دەڵێن جارێک لە یەکێک لە لادێکانی هەورامان ئێوارەیەک دوای نانی ئێوارە خەڵکی زۆر لەسەر حەوز کۆدەبنەوە و دەنێرن بە شوێن میرزا فڵانەکەسدا کە گێڕەرەوەبووە.	ماچا جارێوشا جە یۆ جە دەگاکاو هەورامانی وێرەگانێو دماو نانوو وێرێگای خەڵکی فرە سەروو حەوزی گلێرێ باوە و کیانا شۆنەو میرزافڵانەکەسی کە ڕاز ئەوەگێڵن بیەن.	Standard		Hawrami
باقی شەفیعی هونەرمەندێکی میللی و لولەژەنێکی بەتوانا و کەسێکی کۆڕ و کۆبونەوە خۆشەویست بووە.	باقی شەفیعی هونەرمەدێوی میللی و لولەژەنێیوی بە تواناچ بێ و کەسیێوی کۆڕ و کۆبییە گەرم و وەشەویس و گەلمیر بێ.	Standard		Hawrami
ڕۆژانە پێویستمان بە نیو سەعات وەرزش هەیە.	ڕوانە ئەوەجەما بە نیم سات وەرزشی هەن.	Standard		Hawrami
گەمارۆدان و دەورەدانی گەریلاکان.	گەمارۆدای و دەورپێچکەدای گەریلاکان.	Standard		Hawrami
لەسەر ئەو حسابە خەڵکەکەمان بە پێی ڕەفتارەکانی دەوڵەت هەمیشە پشتی بە خۆی بەستووە.	سەروو ئا ئەساسەیە خەلکەکەما بە پاو رەفتارەکا دەوڵەتی هەمیشە پەشتیس بە وێش بەستەن.	Standard		Hawrami
ڕاست گێڕانەوە زۆر گرنگی پێ دراوە.	ڕاز ئەوەگێڵنای فرە ڕەواجش بێ.	Standard		Hawrami
ئەگەر لە ڕۆژگاری ئەمڕۆدا سەرنجی زنجیرە ڕووداوەکانی کوردستان و سەرۆکی میانی بدەین بێگومان قسەکەی ئۆجەلان پشتڕاست دەبێتەوە.	ئەگەر جە ڕۆزگارۆ ئارۆیەنە دیقەتو ڤییەرە و ڕوودایە شۆن بەشۆنەکانو کوردستانی و وەرهۆرزو میانی بڎێمێنە بێگومان قسەکێ ئۆجالانی پەشتڕاست مەکەرانێوە.	Standard		Hawrami
بەڵام هەرگیز کەمناکات و ساڵیداهاتوو وەکو خۆی لێدێتەوە.	بەڵام هەرگیز کەم نمەکەرۆنە و ساڵی ئایندێ پێسەو وێش پنە مەیۆوە.	Standard		Hawrami
سەرئەنجام ئەوە گەل و هێزە شۆڕشگێڕەکانی ڕۆژئاوای کوردستانن دیاری کراون و هاوکێشەکان ناگۆڕێن.	سەرەنجام ئانە گەل و هێزە شۆڕشگێڵەکێ ڕۆژئاواو کوردستانیەنێ دیاریکەرێنێ و هامکێشەکان مەفاڕانە.	Standard		Hawrami
پژاک بوو کە فەلسەفەی خۆبەدەستەوەدانی لەناوبرد.	پژاک بێ کە فەرهەنگ و تەسلیم بییەیش بن بڕ کەرد .	Standard		Hawrami
کردن و مەشق پێکردنی تورکمانەکان و بردنی سەدان تورکمان بۆ تورکیا و پەروەردەکردنیان بە فکری فاشیستی.	کەردەی و مەشق پنەکەردەی تورکومانەکان و بەردەی سەدان تورکومانان پەی تورکیای و پەروەردەکەرەیشان بە فکری فاشستی.	Standard		Hawrami
قەیرانەکانی سیستەم لە ڕۆحی کۆمەڵگا دوردەخاتەوە.	قەیرانەکا سیستمی جە رۆحوو کۆمەڵگەی دوو وزۆوە .	Standard		Hawrami
لەبەرئەوەی  پێشبینی کردبوو ئەگەر کورد گوشاری بخرێتە سەر ئەوکاتە داوا لە ڕژێمی سوریا دەکات تا بۆ پاراستنی سنورەکانی هێز بنێرێت بۆ ڕۆژئاوا.	وەروو ئانەیە کە ۋەرۋینیش کەردەبێ ئەگەر کورد گوشارش بگنۆنە سەر ئا وەختە داوا جە رژێمو سوریای مەکەرۆنە تا پەی پارێزنای سنوورەکانش هێز بکیانۆنە پەی رۆژئاوا.	Standard		Hawrami
دواتر دوژمن بە هەلیکۆپتەر بکوژن و بریندارەکانی بگوازنەوە بۆ نەخۆشخانە.	دماتەر دوژمن بە هەلیکۆپتەر کوشتێ و بریندارەکەش فاڕێنێ نەوەشخانە.	Standard		Hawrami
هاوکات جەماوەری ناڕازی دەیان بانک و بینای سەر بە دەسەڵات و سەدان سەیارەی پۆلیس و هێزە ئەمنیەکانیان لەناوبردوەو سوتاندووە.	هامکات جەماۋەری ناڕازی دەیان بانکێ و تەلارێ سەر بە دەسەڵاتی و سەڎان ماشینێ پۆلیس و هێز ئەمنیەکانشان ئێر دێنێ و سۆچنێنێ.	Standard		Hawrami
گەلەکەمان بە ڕێکخستنی خۆی بەهۆی یارمەتیدانی لێقەوماوان ئەو ڕاستیەی دەرخستووە کە شایەنی ژیانێکی ئازادانەیە.	گەلەکەما بە رێکوستەو وێش چێرو پێ یاریدای وەنەقۆمیایا ئا راسیشە بەر وست کە لایقوو ژیوایە ئازادیا.	Standard		Hawrami
یەکەمین مەیدانی تێگەیشتن و ناسین دووەمین مەیدانی پەیوەندی.	یوهەمین مەیدانوو ئەنەیاواینە و ئەژناسای دوەمین مەیدان و پەیوەندی .	Standard		Hawrami
یارسان و هەورامان لە دێرینەوە تاکو ئەمڕۆ پەیوەندییان هەبووە و تێکەڵی یەکتریبوون هەربۆیەش نوسەر ئیبراهیم شەمس زانستیانە           کردووە.	یارسان و هەورامان جە دێرینە تا ئارۆ پەیوەندێ و ئامێتێ هەنتری بیێنێ و چی پەیجۆرەنە نۋیسەر ئیبراهیم شەمس زانستیانە مژارەکەش شەی کەردەن.	Standard		Hawrami
لەشوێنی خۆیدا دەنگمان بەرز دەکەینەوە و دەڵێین ناسنامەمان لێسەندرایەوە و ئازادیمان نییە.	یاگێ وێشەنە کە دەنگما بەرزکەرمێوە و واچمێ شناسنامەما چەنە ئسنیانەوە و ئازادیما نیا .	Standard		Hawrami
نە هەمانبووە و نە بینیومانە.	نەبیەنمان و نەدیەنمان.	Standard		Hawrami
ئیتر هێزی کەپیتاڵیزمی مۆدێرن و دەسەڵاتدارە هەرێمییەکان چیدەکەن با بیکەن ناتوانن ئیرادەی گەلەکان کەم بکەنەوە و بیشارنەوە ناچارن حسابی بۆ بکەن.	ئیتر هێزە کاپیتالیزمە مۆدێرنەتەکێ و دەسەڵاتدارە هەرێمیەکێ چێش مەکەرانێ با بکەرانێ نمەتاۋانێ ئیرادەو گەلانی ئاستەنگ بکەرانێ و نادیڎەش بگێران و ناچارێنێ حسابش پەی بکەرانێ.	Standard		Hawrami
تەنیا یەکجار لە بەرەی جەنگی حاجی ئۆمەران بەکاریهێناوە دژی ئێران.	تەنیا یەک جار جە بەرەو جەنگ و حاجی هۆمەرانی بەکارش ئاوردەن دژو ئیرانی.	Standard		Hawrami
تێکدانی ژینگەیە بۆ بەدەست هێنانی قازانج.	تێکداو ژیوگەیا پێ دەس وستەو قازانجی .	Standard		Hawrami
ئەگەر هەورامیەکان یەکنەگرن ناتوانن مافە خوراوەکانیان بەدەستبهێننەوە.	ئەگەر هۆرامیێ یۆگێرتێ نەبانە نمەتاوانێ مافه وریاکانشان بەدەست بارانێوە.	Standard		Hawrami
هەر بۆیە لە نێوان ئێمە و دەوڵەتە داگیرکەر و فاشیستەکەی تورکیادا شەری دژوار هەیە و لە ئایندەدا دژوارتریش دەبێت.	هەر پۆکەی میانو ئێمە و دەوڵەتە ئەرگێر و فاشیستەکەو تورکیایەنە جەنگی دژوار هەن و جە ئایندەنە جەنگەکە دژوارتەریچ ببۆنە.	Standard		Hawrami
وە بۆ سابون.	وە پەی سابونی.	Standard		Hawrami
زمان نیشاندەری هەستەکانی ئینسانە.	زوان نیشاندەروو هەستەکا ئینسانین .	Standard		Hawrami
لە پاوەشار بە بەژداری چەندین ژن و پیاو کۆنسێرتێکی هونەری سازکرا. 	جە پاۋە شار بە بەشداری چەنڎین هونەرمەندێ ژەنی و پیێ کۆنسێرتی هونەری ساز کریا.	Standard		Hawrami
کە ئێمە بەرەو سۆسیالیزمی دەبات.	کە ئێمە بەرەوو سۆسیالیزمی مەبەرۆنە.	Standard		Hawrami
لە ئێران و جیهاندا چەندین کەمپین و چالاکی ئەنجام دراون.	ئێران و جیهانەنە دەیان کەمپینێ و چالاکیێ جۆراوجۆرێ ئەنجامێ دریێنێ.	Standard		Hawrami
بۆیە لەناوبردنیان مەحاڵە.	پۆکەی دلێنەبەردەیشان مەحاڵەن.	Standard		Hawrami
نەتانتوانی وەکو سەیدی گەورە ئاشقانە لە سەرای هەورامان گەورەبن.	نەتاواتان عەینو سەیدی گەورە ئاشقانە سەراو هەورامانی گەورێ بیدێنە.	Standard		Hawrami
هەرئەوەش وای کردووە کە بەشێک لە هەورامییەکان لە ئێستەو ڕابردووشدا ڕقیان لە گۆشایش بێت و وەکو سوکایەتیپێکردن بە مەولاناگۆشایشە کوێر ناوی دەبەن.	هەر ئانەیچە پاسەشە کەردەن کە بەشێو جە هەورامیەکان جە ئیسە و ویەردەنە قینیشان جە گوشایشی بەیۆنەو پێسەو سوکایەتی کەردەی پەنەش بە مەولاناگوشایشە کۆر نامێش مەبەرانە.	Standard		Hawrami
هێزە عێراقییە جۆراوجۆرەکان هەماهەنگی لە نێوانیاندا نییە.	هێزە ئێراقیە جیا جیاکێ هەماهەنگی جە میانشانە نییەن.	Standard		Hawrami
لە خەرجی خواردن کەم دەبێتەوە.	جە خەرجو وارڎەی کەم بۆوە.	Standard		Hawrami
هەر ئەوانەش تا ڕادەیەک هۆکار بوون بۆ گەشە و پەرەسەندنی فکری نەتەوەیی و دەرئەنجام بوون بە زەمینەیەکی گرنگ بۆ دروستکردنی کۆماری کوردستان.	هەر ئانەیچە تا ڕادێوە هۆکارێ بێنێ پەی گەشە و چەکەرەکەردەی فکری نەتەوەیی و دەرنجام بیێ بە زەمینەسازێوی گرنگ بێ پەی دورست بییەی کۆمارو کوردستانی.	Standard		Hawrami
بەفرێک دەبارێت بەفرە کۆنەکە دەتوێنێتەوە، گوریس کە لەت دەبێت دەبێتە چوار سەر (مەبەستی لە چوار مەزهەبەکەیە). 	وەرێ وارۆنە وەروە وەرێنە وەرێسەپڕچیۆ چوار سەرێنە	Standard		Hawrami
بەیەکەوە نەبوون.	یەوە نەبییەن.	Standard		Hawrami
